,FTE,Facility_or_Department,Function,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Object_Type,Operating_Status,Position_Extra,Position_Type,Pre_K,Program_Description,Reporting,Sharing,Student_Type,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total,Use
21,nan,nan,'Research & Accountability','EMPLOYEE RETIREMENT',nan,'Temporary Employee ','ASSESSMENT & RESEARCH','RETIREMENT CONTRIB.','Benefits','PreK-12 Operating','UNDESIGNATED','Other','NO_LABEL','EMPLOYEE BENEFITS','Non-School','Leadership & Management','Unspecified','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,29.01,'Leadership'
22,0.662830268,nan,'Parent & Community Relations','NON-PROJECT',nan,'School Community Liaison ',nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-OTHER','Other','NO_LABEL','GENERAL HIGH SCHOOL EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Turnaround',nan,21778.26939,'Pupil Services & Enrichment'
23,0,nan,'Teacher Compensation',nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Teachers','Other Compensation/Stipend','PreK-12 Operating','TIME CARD CERTIFIEDAddl','Teacher','Non PreK','Instruction - Regular','Non-School','School on Central Budgets','Alternative',nan,nan,nan,nan,nan,'Alternative Schools Instruction',774.2099,'Instruction'
24,nan,nan,'Parent & Community Relations','TITLE I - CENTRAL PROGRAMS',nan,'(blank)',nan,'OTHER SUPPLIES','Supplies/Materials','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','COMMUNITY SERVICE','School','School Reported','Poverty','FEDERAL GDPG FUND - FY ',nan,'COMMUNITY SERVICES OPERATION',nan,'Turnaround',nan,153.6,'Pupil Services & Enrichment'
25,nan,nan,'NO_LABEL','Elementary','General',nan,nan,'Temporary *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Regular Instruction','Certificated Employees Salaries And Wages','SUBSTITUTES',nan,nan,nan,-0.38,'NO_LABEL'
26,nan,nan,'Teacher Compensation','TUITION BASED - ECE',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','PreK','EARLY CHILDHOOD','School','School Reported','PreK','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,540.83,'Instruction'
27,nan,nan,'School Administration','NON-PROJECT',nan,'Principal',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','ADMINISTRATOR','Principal','NO_LABEL','SUPPORT SERVICES-SCHOOL ADMIN','School','School Reported','Unspecified','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,4665.25,'Leadership'
28,nan,nan,'NO_LABEL',"'Food Purchasing, Preparation And Dispensing Services *'",'Food Services',nan,nan,'Garbage Removal and Cleaning Services','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Food Service Operations','Property Services (Other Than Utilities) *','ELEM BREAKFAST',nan,nan,nan,-0.04,'NO_LABEL'
29,0.006465517,nan,'Curriculum Development','TITLE II-PART A-TEACHER QUALIT',nan,"'Teacher,Retrd Shrt Term Sub '",'HUMANITIES','SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','Shared Services','Unspecified','FEDERAL GDPG FUND - FY ',nan,'INSTRUCTIONAL STAFF','HUMANITIES','n/a',nan,194.2324774,'ISPD'
30,nan,nan,'NO_LABEL','Care and Upkeep of Equipment and Furniture Services','Miscellaneous Federal Grants',nan,nan,'Repairs and Maintenance Services','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Operation and Maintenance of Plant Services','Property Services (Other Than Utilities) *','GOALS ',nan,nan,nan,1249.32,'NO_LABEL'
31,nan,nan,'School Supervision','OTHER SUPPORT SERVICES','Title I',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES','Travel & Conferences','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','ARRA - Title I Grants to LEAs','Non-School','Shared Services','NO_LABEL','TITLE I-A ARRA OF  TARGETED ASSISTANCE',nan,nan,nan,nan,nan,76.18,'NO_LABEL'
32,nan,nan,'Substitute Compensation','UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','GENERAL HIGH SCHOOL EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,2.66,'Instruction'
33,nan,nan,'Instructional Materials & Supplies','EXCEPTIONAL                   ','FED THRU STATE-CASH ADVANCE   ',nan,'ESE                           ','TEXTBOOKS                     ','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','School on Central Budgets','Special Education',nan,nan,'IDEA  PART B                  ',nan,nan,nan,93.31,'Instruction'
34,1,'Instruction And Curriculum','Professional Development','Instruction',"'""Title  Part A Improving Basic Programs""'",'SKILLS SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','Base Salary/Compensation','PreK-12 Operating','TEACHER BACHELOR','Instructional Coach','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','Poverty',"'""Title  Part A Improving Basic Programs""'",'Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Regular Salary',53361.4802,'ISPD'
35,0.424692773,nan,'Food Services','NON-PROJECT',nan,'Truck Driver ','FOOD AND NUTRITION SERVICES','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Other','NO_LABEL','FOOD SERVICES WAREHOUSE','Non-School','School on Central Budgets','Unspecified','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','n/a',nan,20228.31748,'O&M'
36,nan,nan,'NO_LABEL','Direction Of Support Services - Pupils *','Special Trust',nan,nan,'EQUIPMENT *','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services--Pupils','Equipment *','HOME TEAM MARKETING ',nan,nan,nan,-605.33,'NO_LABEL'
37,0.500012846,nan,'Special Population Program Management & Support','COMMUNITY ENGAGEMENT',nan,'Social Worker ','ALTERNATIVE ED / CONSTITUENCY','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Social Worker','NO_LABEL','SOCIAL WORK SERVICES','Non-School','Shared Services','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'STUDENTS','ALTERNATIVE ED / CONSTITUENCY','n/a',nan,32941.37449,'ISPD'
38,0,nan,'Substitute Compensation',nan,'General Purpose School',nan,nan,'Personal Services - Education Assistants','Substitute Compensation','PreK-12 Operating','SUBSTITUTE TEACHER','Substitute','Non PreK','Support - Regular Instruction','School','School Reported','Unspecified',nan,nan,nan,nan,nan,'Regular Instructional Support',140.32,'Instruction'
39,1,nan,'Facilities & Maintenance',nan,'General Fund','Building Custodian II',nan,nan,'NO_LABEL','PreK-12 Operating','BUILDING CUSTODIAN ','Custodian','NO_LABEL','Misc','School','School Reported','NO_LABEL',nan,nan,nan,nan,nan,nan,46593.15,'NO_LABEL'
40,nan,nan,'Instructional Materials & Supplies','NON-PROJECT',nan,'(blank)',nan,'GENERAL SUPPLIES','Supplies/Materials','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','ART EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,1231.29,'Instruction'
41,nan,nan,'Social & Emotional','NON-PROJECT',nan,'Social Worker ','SOCIAL WORK SERVICES','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Social Worker','NO_LABEL','SOCIAL WORK SERVICES','Non-School','School on Central Budgets','Unspecified','GENERAL FUND',nan,'STUDENTS','PSYCHOLOGICAL SERVICES','n/a',nan,814.84,'Pupil Services & Enrichment'
42,nan,nan,'Recruitment','NEW TEACHER RECRUITMENT',nan,"'Teacher, Short Term Sub '",'HUMAN RESOURCES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','SUPPORT SERVICES-INSTRUCTIONAL','Non-School','Shared Services','Unspecified','DISTRICT SPECIAL REVENUE FUNDS',nan,'INSTRUCTIONAL STAFF','HUMAN RESOURCES RECRUITMENT','n/a',nan,38.23672,'ISPD'
43,0.043026678,nan,'Teacher Compensation','ALL DAY KINDERGARTEN',nan,"'Teacher, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified',' MILL LEVY',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,3006.378196,'Instruction'
44,0.246992778,nan,'NO_LABEL','NON-PROJECT',nan,'Food Service Worker II ',nan,'SALARIES OF PART TIME EMPLOYEE','NO_LABEL','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Non-Position','NO_LABEL','FOOD PREPARATION/SERVING','School','School Reported','NO_LABEL','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Charter',nan,4347.124799,'NO_LABEL'
45,nan,nan,'Enrichment','NON-PROJECT',nan,"'Student Advisor, High Sch '",'ATHLETICS & STUDENT ACTIVITIES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Guidance Counselor','NO_LABEL','MALE ATHLETICS/SPORTS ACTIVITI','Non-School','School on Central Budgets','Unspecified','PUPIL ACTIVITY FUND',nan,'COCURRICULAR ED/ACTIVITIES','ATHLETICS','n/a',nan,5258.83704,'Pupil Services & Enrichment'
46,nan,nan,'Aides Compensation','NON-PROJECT',nan,'Secondary Spec Ed Para ',nan,'CONTRA BENEFITS','Benefits','PreK-12 Operating','UNDESIGNATED','TA','NO_LABEL','EMPLOYEE BENEFITS','School','School Reported','Special Education','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-70.57,'Instruction'
47,nan,nan,'Development & Fundraising',"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'EDUC FOUNDATION DIRECTOR      ','NON-CAPITALIZED COMPUTER HARDW','Equipment & Equipment Lease','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'EDUC FOUNDATION DIRECTOR      ',nan,nan,nan,2333.37,'Business Services'
48,nan,'All Campus Payroll','Substitute Compensation','Instruction','General Operating Fund',"'TEACHER, TEMPORARY'",'School ','Salaries And Wages For Substitute Professionals','Substitute Compensation','PreK-12 Operating','CERTIFIED SUBSTITUTE','Substitute','Non PreK','Basic Educational Services','School','School Reported','Unspecified','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',94.81465198,'Instruction'
49,nan,nan,'NO_LABEL','Building Acquisitions And Construction Services *','Classroom Facilities',nan,nan,'Equipment and Furniture','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Building Acquisitions And Construction Services *',"'Supplies And Materials For Operation, Maintenance And Repair *'",' LOCAL SHARE',nan,nan,nan,1615.83,'NO_LABEL'
50,nan,'WRITING TEAMS                 ','Curriculum Development','INST & CURRICULUM DEV SVCS    ','FED THRU STATE-CASH ADVANCE   ',"'TEACHER, SECOND               '",'School ','EXTRA DUTY PAY-INSTRUCTIONAL  ','Other Compensation/Stipend','PreK-12 Operating',nan,'Teacher','NO_LABEL',nan,'School','School Reported','Poverty',nan,nan,'TITLE I                       ',nan,nan,nan,338.88,'ISPD'
51,nan,nan,'Facilities & Maintenance','NON-PROJECT',nan,'Custodial Helper - Day ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating',"'CRAFTS, TRADES, AND SERVICES'",'Custodian','NO_LABEL','CARE & UPKEEP OF BLDG SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','CUSTODIAL-SCHOOLS','Regular',nan,4634.65,'O&M'
52,nan,nan,'School Administration','NON-PROJECT',nan,"'Mgr, Schl Office Elem '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','ADMINISTRATOR','Coordinator/Manager','NO_LABEL','SUPPORT SERVICES-SCHOOL ADMIN','School','School Reported','Unspecified','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,1183.22,'Leadership'
53,nan,nan,'Security & Safety','NON-PROJECT',nan,'Campus Security Officer ',nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','OFFICE/ADMINISTRATIVE SUPPORT','School Monitor/Security','NO_LABEL','SCHOOL SECURITY','School','School Reported','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','SAFETY AND SECURITY','Alternative',nan,300.71,'O&M'
54,nan,'Instruction And Curriculum','Professional Development','Instruction',"'""Title  Part A Improving Basic Programs""'","'SKILLS SPECIALIST, ADITIONAL'",'School ','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Instructional Coach','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'School','School Reported','Poverty',"'""Title  Part A Improving Basic Programs""'",'Extended Week','MISCELLANEOUS ',nan,nan,nan,208.6657559,'ISPD'
55,nan,nan,'Student Assignment','ATTENDANCE AND SOCIAL WORK    ','GENERAL FUND                  ',nan,'STUDENT SERVICES              ','OUT OF COUNTY TRAVEL          ','Travel & Conferences','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,'STUDENT SERVICES              ',nan,nan,nan,357.03,'Leadership'
56,nan,nan,'School Administration','NON-PROJECT',nan,"'Principal, Asst Middle Sch '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','ADMINISTRATOR','Vice Principal','NO_LABEL','SUPPORT SERVICES-SCHOOL ADMIN','School','School Reported','Unspecified','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,4547.9,'Leadership'
57,nan,nan,'Utilities','NON-PROJECT',nan,'(blank)',nan,'ELECTRICITY','Rent/Utilities','PreK-12 Operating','UNDESIGNATED','Non-Position','NO_LABEL','CARE & UPKEEP OF BLDG SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','OPERATIONS - UTILITIES','Regular',nan,26926.75,'O&M'
58,nan,nan,'Physical Health & Services','SPECIAL EDUCATION - ITINERANT',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Speech Therapist','NO_LABEL','SPECIAL EDUCATION-S/L','Non-School','School on Central Budgets','Special Education','GENERAL FUND',nan,'SPECIAL EDUCATION','SPEECH & LANGUAGE','n/a',nan,4999.91,'Pupil Services & Enrichment'
59,0.19939395,nan,'Physical Health & Services','TITLE VI-IDEA B-MAIN',nan,'Occupational Therapist ','SPECIAL EDUCATION','SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Occupational Therapist','NO_LABEL','SPECIAL EDUCATION-OT','Non-School','School on Central Budgets','Special Education','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,18706.49711,'Pupil Services & Enrichment'
60,0.015086207,nan,'Curriculum Development','CLASS-SIZE RELIEF FUND',nan,"'Teacher, Long Term Sub HS '",'CHIEF ACADEMIC OFFICER','SALARIES OF TEMPORARY EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Substitute','NO_LABEL','OTHER GENERAL EDUCATION','Non-School','Shared Services','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER CLASS SIZE RELIEF','n/a',nan,692.2278577,'ISPD'
61,nan,'Instruction And Curriculum','School Administration','School Leadership','Head Start','SCHOOL PRINCIPAL','School ','Employee Allowances','Travel & Conferences','PreK-12 Operating','ELEM/INTER ASST PRINCIPAL','Vice Principal','PreK','PRE-K','School','School Reported','Unspecified','Head Start','Travel Allowances','TRAVEL',nan,nan,'Regular Salary',521.0180761,'Leadership'
62,nan,nan,'Instructional Materials & Supplies','BASIC (FEFP K-12)             ','GENERAL FUND                  ',nan,'School ','TEXTBOOKS                     ','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'School','School Reported','Unspecified',nan,nan,'LOCAL ALLOC SAI               ',nan,nan,nan,1926.28,'Instruction'
63,nan,'All Campus Payroll','Substitute Compensation','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','Substitute Compensation','PreK-12 Operating','CERTIFIED SUBSTITUTE','Substitute','Non PreK','Bilingual Education And Special Language Programs','School','School Reported','Unspecified','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,nan,698.0425639,'Instruction'
64,nan,'NETWORK OPS                   ','Utilities','OPERATION OF PLANT            ','GENERAL FUND                  ',nan,'VOCATIONAL EDUCATION          ','DEDICATED DATA LINE           ','Rent/Utilities','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified',nan,nan,nan,nan,nan,nan,27.06,'O&M'
65,0.00862069,nan,'Security & Safety','ALL DAY KINDERGARTEN',nan,'School Crossing Guard ',nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PARAPROFESSIONAL','School Monitor/Security','NO_LABEL','GENERAL ELEMENTARY EDUCATION','School','School Reported','Unspecified',' MILL LEVY',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,132.682542,'O&M'
66,nan,nan,'NO_LABEL','Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Supplies and Materials','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL','Support Services - Instructional Staff','Supplies And Materials','ITEMS-VARIOUS GRANTS',nan,nan,nan,4569.93,'NO_LABEL'
