,FTE,Facility_or_Department,Function,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Object_Type,Operating_Status,Position_Extra,Position_Type,Pre_K,Program_Description,Reporting,Sharing,Student_Type,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total,Unnamed: 0
55,nan,nan,'Teacher Compensation','CORE MATTERS',nan,'Teacher','HUMANITIES','ADDITIONAL/EXTRA DUTY PAY/STIP','Other Compensation/Stipend','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Teacher','NO_LABEL','INSTRUCTIONAL STAFF TRAINING','Non-School','School on Central Budgets','Special Education','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','HUMANITIES','n/a',nan,47.885120000000001,19386
56,0.0,'CAREER AND TECHNOLOGY EDUCATION','NO_LABEL',nan,'General Purpose School',nan,nan,'Personal Services - Other Compensation','NO_LABEL',"'Operating, Not PreK-12'",'TIME CARD CERTIFIEDAddl','NO_LABEL','NO_LABEL','Support - Regular Instruction','NO_LABEL','NO_LABEL','NO_LABEL',nan,nan,nan,nan,nan,'Adult Programs',2685.02,20262
57,1.0,nan,'Facilities & Maintenance',nan,nan,'CUSTODIAN',nan,nan,'Base Salary/Compensation','PreK-12 Operating',nan,'Custodian','NO_LABEL',nan,'School','School Reported','Unspecified','LOCAL',nan,nan,'CUSTODIAL SERVICES',nan,nan,40392.834373100013,20404
58,nan,nan,'NO_LABEL','FACILITIES ACQ AND CONST      ','MILLAGE                  ',nan,'School ','NONCAPITALIZED  REMOD/RENOV   ','NO_LABEL','Non-Operating',nan,'NO_LABEL','NO_LABEL',nan,'NO_LABEL','NO_LABEL','NO_LABEL',nan,nan,'GENERAL MAINTENANCE-Host Bgt  ',nan,nan,nan,780.35000000000002,20921
59,nan,'Instruction And Curriculum','Extended Time & Tutoring','Instruction','General Operating Fund',"'TEACHER, REGULAR'",'Summer School','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Teacher','Non PreK',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'Non-School','Shared Services','At Risk','State Ed. Allotment','Extended Year','EXTENDED YEAR',nan,nan,nan,729.803175732,21054
60,nan,nan,'Career & Academic Counseling','NON-PROJECT',nan,"'Student Advisor, High Sch '",nan,'EMPLOYEE BENEFITS','Benefits','PreK-12 Operating','PROFESSIONAL-INSTRUCTIONAL','Guidance Counselor','NO_LABEL','GUIDANCE SERVICES','School','School Reported','Unspecified','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,129.86000000000001,22109
61,nan,'All Campus Payroll','Substitute Compensation','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','Substitute Compensation','PreK-12 Operating','DEGREED SUBSTITUTE','Substitute','Non PreK','Basic Educational Services','School','School Reported','Unspecified','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',189.225972222,23959
62,nan,nan,'Instructional Materials & Supplies','INSTRUCTION','General Fund',nan,nan,'SUPPLIES','Supplies/Materials','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','SPECIAL EDUCATION CATEGORY III','School','School Reported','NO_LABEL','CATEGORY III EXP ONLY SPECIAL ED',nan,nan,nan,nan,nan,150.25,23970
63,nan,nan,'Aides Compensation','NON-PROJECT',nan,'Reading & Writing Asst ',nan,'SALARIES OF PART TIME EMPLOYEE','Base Salary/Compensation','PreK-12 Operating','PARAPROFESSIONAL','TA','NO_LABEL','GENERAL K-8 EDUCATION','School','School Reported','Unspecified','GENERAL FUND',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,6247.2140205800024,24150
64,1.0,nan,'Human Resources',nan,nan,'HR SPECIALIST','OFFICE OF HUMAN RESOURCES',nan,'Base Salary/Compensation','PreK-12 Operating',nan,'Other','NO_LABEL',nan,'Non-School','Leadership & Management','Unspecified','LOCAL',nan,nan,'PERSONNEL',nan,nan,46980.478824400001,24169
65,1.0,'FISCAL SERVICES',"'Finance, Budget, Purchasing & Distribution'",nan,'General Purpose School','ACCOUNTS PAYABLE ADMINISTRATOR','Central Office','Personal Services - Super / Dir / Supv','Base Salary/Compensation','PreK-12 Operating','SUPERVISOR -  MON.','Coordinator/Manager','Non PreK','District Administration','Non-School','Leadership & Management','Unspecified',nan,nan,nan,nan,nan,'Fiscal Services',114956.31,24385
66,nan,nan,'School Administration','NON-PROJECT',nan,"'Principal, Elementary '",nan,'SALARIES OF REGULAR EMPLOYEES','Base Salary/Compensation','PreK-12 Operating','ADMINISTRATOR','Principal','NO_LABEL','SUPPORT SERVICES-SCHOOL ADMIN','School','School Reported','Unspecified','GENERAL FUND',nan,'SCHOOL ADMINISTRATION',nan,'Regular',nan,928.47071999999991,24414
67,nan,nan,'Data Processing & Information Services','SUPPORT SERVICES-CENTRAL','General Fund',nan,'ADMIN. SERVICES','DUES AND FEES','Other Non-Compensation','PreK-12 Operating',nan,'NO_LABEL','NO_LABEL','Misc','Non-School','Leadership & Management','NO_LABEL','MISCELLANEOUS',nan,nan,nan,nan,nan,27370.07,24822
68,nan,"'""Human Resources, Administration""'",'Recruitment','Curriculum Development And Instructional Staff Dev','General Operating Fund',"'TEACHER, REGULAR'",'Undistributed','Salaries And Wages For Teachers And Other Professi','Other Compensation/Stipend','PreK-12 Operating','TEACHER BACHELOR','Teacher','Non PreK','Undistributed','Non-School','Leadership & Management','Unspecified','Operations','Extra Duty Wages','COOPERATING TEACHER STIPEND',nan,nan,nan,130.31945930099999,24839
