,FTE,Facility_or_Department,Function_Description,Fund_Description,Job_Title_Description,Location_Description,Object_Description,Position_Extra,Program_Description,SubFund_Description,Sub_Object_Description,Text_1,Text_2,Text_3,Text_4,Total
10,nan,nan,'NON-PROJECT',nan,'Nurse ',nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','NURSING SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Alternative',nan,41.88
11,nan,nan,'Other Improvements Of Instruction Services *','Special Trust',nan,nan,'Classroom Supplies',nan,nan,'Support Services - Instructional Staff','General Supplies *',""" START UP-GENDER SCH'S""",nan,nan,nan,-4136.49
12,nan,nan,nan,'LOCAL FUND',nan,nan,'SUNDAY PAY','ADDITIONAL GROSS PAY','NON-INSTRUCTIONAL SUPPORT SERVICES','LOCAL',nan,nan,'PUBLIC UTILITIES',nan,nan,14646.42
13,nan,'All Campus Payroll','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','CERTIFIED SUBSTITUTE',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'State Ed. Allotment','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,nan,99.75465198
14,nan,nan,'NON-PROJECT',nan,"'School Counselor, High Sch '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GUIDANCE SERVICES','GENERAL FUND',nan,'STUDENTS',nan,'Regular',nan,987.92
15,nan,nan,'INST STAFF TRAINING SVCS      ','GENERAL FUND                  ',"'TEACHER, MATH-HIGH            '",'STAFF DEV AND INSTR MEDIA     ','WORKSHOP PARTICIPANT          ',nan,nan,nan,nan,'TEACHER TRAINING              ',nan,nan,nan,80.55
16,nan,nan,'School Leadership','General Operating Fund',nan,'School ','Insurance And Bonding Costs',nan,'Undistributed',nan,'Insurance And Bonding Costs',nan,nan,nan,'Undistributed',71.49
17,nan,nan,'INSTRUCTION','Schoolwide Schools',nan,nan,'PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE',nan,'Misc','SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS',nan,nan,nan,nan,nan,184.86
18,nan,nan,'PERFORMANCE MANAGEMENT / DELL',nan,"'Teacher, Elementary '",'CHIEF OPERATING OFFICER','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL',"'PLANNING,RESEARCH,DEVELOPMENT'",'DISTRICT SPECIAL REVENUE FUNDS',nan,'CENTRAL','STRATEGIC PLANNING','n/a',nan,353.7048
19,1,nan,'GUIDANCE SERVICES             ','GENERAL FUND                  ','DATA ENTRY OPERATOR           ','School ','OTHER SUPPORT PERSONNEL       ',nan,nan,nan,nan,nan,nan,nan,nan,32932.94109
20,0.5,nan,nan,'General Fund','Building Custodian I',nan,nan,'BUILDING CUSTODIAN ','Misc',nan,nan,nan,nan,nan,nan,18171.255
21,1,nan,nan,'General Fund','Clinic Assistant',nan,nan,'CLINIC ASSISTANT ','NURSES',nan,nan,nan,nan,nan,nan,6592.52
22,1,nan,nan,nan,'ESL TEACHER',nan,nan,nan,nan,'FEDERAL PAYMENT',nan,nan,'ESL/BILINGUAL EDUCATION',nan,nan,104267.7562
23,nan,nan,nan,'INTRADISTRICT FUNDS',nan,'OFFICE OF CAREER AND TECHNICAL EDUCATION','PROF SERVICE FEES AND CONTR','OTHER SERVICES & CHARGES','INSTRUCTIONAL SUPPORT SERVICES','VOCATIONAL EDUCATION - CARL D. PERKINS',nan,nan,'LOCAL GRANTS ADMINISTRATION',nan,nan,130027.47
24,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Supplies and Materials',nan,nan,'Support Services - Instructional Staff','Supplies And Materials','ITEMS-VARIOUS GRANTS',nan,nan,nan,684.82
25,0.420105017,'SPECIAL EDUCATION',nan,'School Federal Projects','STIM FUND COTEACHING COACH','District Wide Resources','Personal Services - Other Personnel','INSTRUC COACH CO-TCHR','Support - SPED',nan,nan,'INDIVIDUALS WITH DISABILITIES ACT PART B',nan,nan,'IDEA Part B',24830.27
26,nan,nan,'EMPLOYEE RETIREMENT',nan,'Temporary Employee ','ASSESSMENT & RESEARCH','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,29.01
27,nan,nan,'INSTRUCTION','General Fund',nan,nan,'SUPPLIES',nan,'MIDDLE SCHOOL PROGRAM  6-8','MIDDLE SCHOOL PROGRAM 6-8',nan,nan,nan,nan,nan,38.27
28,0,nan,nan,'General Purpose School',nan,'District Wide Resources','Personal Services - Teachers','TIME CARD CERTIFIEDAddl','Instruction - Regular',nan,nan,nan,nan,nan,'Alternative Schools Instruction',774.2099
29,nan,nan,'ELA S - TEACHING SPANISH ONLY',nan,"'Facilitator,Elem '",'ASSESSMENT & RESEARCH','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','INSTRUCTIONAL STAFF TRAINING','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','ASSESSMENT AND RESEARCH','n/a',nan,36.61432
30,0.89,'All Campus Payroll','Instruction','General Operating Fund',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','High School Allotment','High School Allotment','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,nan,48764.66439
31,nan,nan,'TUITION BASED - ECE',nan,"'Teacher, Elementary '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','EARLY CHILDHOOD','DISTRICT SPECIAL REVENUE FUNDS',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,540.83
32,nan,'All Campus Payroll','Instruction','General Operating Fund','TEACHER SUBSTITUTE POOL','School ','Salaries And Wages For Substitute Professionals','DEGREED SUBSTITUTE','Bilingual Education And Special Language Programs','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,nan,94.27798611
33,nan,nan,"'Food Purchasing, Preparation And Dispensing Services *'",'Food Services',nan,nan,'Garbage Removal and Cleaning Services',nan,nan,'Food Service Operations','Property Services (Other Than Utilities) *','ELEM BREAKFAST',nan,nan,nan,-0.04
34,1,'All Campus Payroll',"'""Guidance, Counseling And Evaluation Services""'",'General Operating Fund',"'COUNSELOR, DRUG INTERVENTION'",'School ','Salaries And Wages For Teachers And Other Professi','INTERVENTION SPECIALIST','Disciplinary Alternative Education Program - Daep Supplement','State Ed. Allotment','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,nan,87503.17597
35,nan,nan,'Care and Upkeep of Equipment and Furniture Services','Miscellaneous Federal Grants',nan,nan,'Repairs and Maintenance Services',nan,nan,'Operation and Maintenance of Plant Services','Property Services (Other Than Utilities) *','GOALS ',nan,nan,nan,1249.32
36,nan,nan,'TITLE VI-IDEA B-MAIN',nan,'Occ/Physical Therapist Tech ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PARAPROFESSIONAL','SPECIAL EDUCATION','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,3009.52
37,nan,nan,'OTHER SUPPORT SERVICES','Title I',nan,'ADMIN. SERVICES','TRAVEL - EMPLOYEES',nan,'ARRA - Title I Grants to LEAs','TITLE I-A ARRA OF  TARGETED ASSISTANCE',nan,nan,nan,nan,nan,76.18
38,nan,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher, Short Term Sub '",nan,'EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','GENERAL HIGH SCHOOL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,2.66
39,nan,nan,'EXCEPTIONAL                   ','FED THRU STATE-CASH ADVANCE   ',nan,'ESE                           ','TEXTBOOKS                     ',nan,nan,nan,nan,'IDEA  PART B                  ',nan,nan,nan,93.31
40,1,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'",'SKILLS SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Regular Salary',53361.4802
41,0.424692773,nan,'NON-PROJECT',nan,'Truck Driver ','FOOD AND NUTRITION SERVICES','SALARIES OF REGULAR EMPLOYEES',"'CRAFTS, TRADES, AND SERVICES'",'FOOD SERVICES WAREHOUSE','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','n/a',nan,20228.31748
42,nan,nan,'Direction Of Support Services - Pupils *','Special Trust',nan,nan,'EQUIPMENT *',nan,nan,'Support Services--Pupils','Equipment *','HOME TEAM MARKETING ',nan,nan,nan,-605.33
43,1,'Warehousing','Facilities Maintenance And Operations','General Operating Fund',"'WAREHOUSEMEN,CENTRAL RECEIVING'",'Undistributed','Salaries Or Wages For Support Personnel','WAREHOUSE SUPER ','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,nan,37172.21852
44,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Education Assistants','SUBSTITUTE TEACHER','Support - Regular Instruction',nan,nan,nan,nan,nan,'Regular Instructional Support',140.32
45,1,nan,nan,'General Fund','Building Custodian II',nan,nan,'BUILDING CUSTODIAN ','Misc',nan,nan,nan,nan,nan,nan,46593.15
46,nan,'RTTT Administrative Expense   ',"'PLANNING,RES,DEV,& EVAL       '",'ARRA - RACE TO THE TOP        ',nan,'CURRICULUM AND INSTR          ','OUT OF COUNTY TRAVEL          ',nan,'COMMUNITY PRACTICE COMMON CORE',nan,nan,'RACE TO THE TOP               ',nan,nan,nan,23.63
47,nan,nan,'Public Information Services','General',nan,nan,'Office Supplies',nan,nan,'Support Services - Central','General Supplies *','STRATEGIC COMMUNICATIONS',nan,nan,nan,19017.34
48,nan,'Campus Overtime','Instruction','General Operating Fund','TO BE TERMINATED','Undistributed','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Basic Educational Services','Operations','Salaries And Wages For Teachers And Other Professi','SICK PAY NOT SMOOTHED',nan,nan,'Basic Educational Services - District Objective ',790.53
49,nan,nan,'IDEA ARRA',nan,'Physical Therapist ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-PT','ARRA - STIMULUS',nan,'SPECIAL EDUCATION',nan,'n/a',nan,336.93
50,nan,nan,'SCH ADMIN (OFFICE OF PRINC)   ','GENERAL FUND                  ','CLERICAL ASST I               ','School ','BONUSES                       ',nan,nan,nan,nan,'CLASSIFIED CLERICAL BONUS     ',nan,nan,nan,115.65
51,0.246992778,nan,'NON-PROJECT',nan,'Food Service Worker II ',nan,'SALARIES OF PART TIME EMPLOYEE',"'CRAFTS, TRADES, AND SERVICES'",'FOOD PREPARATION/SERVING','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','Charter',nan,4347.124799
52,0.26,'Instruction And Curriculum','General Administration',"'""Title  Part A Improving Basic Programs""'",'CLERICAL SUPPORT','Administration - No Description Provided','Salaries Or Wages For Support Personnel','CO CLERICAL','Accelerated Education',"'""Title  Part A Improving Basic Programs""'",'Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Regular Salary',6744.542405
53,nan,nan,'Other Community Services *','Title I - Disadvantaged Children/Targeted Assistance',nan,nan,'Student Transportation Purchased from Other Sources',nan,nan,'Community Services','Pupil Transportation *',' TITLE I PI+HOMELESS',nan,nan,nan,-466.38
54,1,nan,nan,'General Purpose School','PRINCIPAL - ELEMENTARY',nan,'Personal Services - Principals','PRINCIPAL',"""Principal's Office""",nan,nan,nan,nan,nan,'Office of Principal',95675.74
55,nan,nan,"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'EDUC FOUNDATION DIRECTOR      ','NON-CAPITALIZED COMPUTER HARDW',nan,nan,nan,nan,'EDUC FOUNDATION DIRECTOR      ',nan,nan,nan,2333.37
56,nan,nan,'GUIDANCE SERVICES             ','GENERAL FUND                  ',nan,'School ','RENTALS                       ',nan,nan,nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,775.41
57,nan,nan,'OTHER SUPPORT SERVICES','Title I',nan,nan,'COMMUNICATION',nan,'ARRA - Title I Grants to LEAs','TITLE I-A ARRA OF  TARGETED ASSISTANCE',nan,nan,nan,nan,nan,-0.13
58,nan,'All Campus Payroll','Instruction','General Operating Fund',"'TEACHER, TEMPORARY'",'School ','Salaries And Wages For Substitute Professionals','CERTIFIED SUBSTITUTE','Basic Educational Services','Operations','Salaries And Wages For Substitute Teachers','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',94.81465198
59,0.97,'Transportation Department','Transportation','General Operating Fund',"'TRANSPORTATION,BUS DRIVERS,REG'",'Undistributed','Salaries Or Wages For Support Personnel','BUS DRIVER','Undistributed','Operations','Salaries Or Wages For Support Personnel','REGULAR PAY',nan,nan,'Transportation - Bus Drivers',25747.29148
60,nan,nan,'TITLE VI-IDEA B-MAIN',nan,'Speech Lang Pathology Asst ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-OTHER','SPECIAL EDUCATION-S/L','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,473.86
61,nan,nan,'NON-PROJECT',nan,'Deputy General Counsel ','SCHOOL ATTORNEY','EMPLOYEE BENEFITS','ADMINISTRATOR','LEGAL SERVICES','GENERAL FUND',nan,'GENERAL ADMINISTRATION','LEGAL SERVICES','n/a',nan,2589.6
62,1,nan,nan,'General Purpose School','CUSTODIAN',nan,'Personal Services - Custodians','CUSTODIAN','Operations',nan,nan,nan,nan,nan,'Operation of Plant',26201.70243
63,nan,nan,'NON-PROJECT',nan,'Custodial Helper - Day ',nan,'EMPLOYEE BENEFITS',"'CRAFTS, TRADES, AND SERVICES'",'CARE & UPKEEP OF BLDG SERVICES','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','CUSTODIAL-SCHOOLS','Regular',nan,4634.65
64,nan,nan,'Direction Of Support Services - Pupils *','Special Trust',nan,nan,'Advertising',nan,nan,'Support Services--Pupils','Communications *',nan,nan,nan,nan,-250.29
65,nan,nan,'EMPLOYEE RETIREMENT',nan,"'Teacher,Spec Ed Center Prg '",nan,'RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,606.87
66,1,nan,nan,'General Fund','Clinic Assistant',nan,nan,'CLINIC ASSISTANT ','NURSES',nan,nan,nan,nan,nan,nan,26960.20164
67,nan,nan,'EMPLOYEE RETIREMENT',nan,'Lead Operator-Computer Ctr ','IST - SYSTEMS SUPPORT','RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,678.11
68,1,nan,nan,'General Purpose School','TCHER PROJECT GRAD',nan,'Personal Services - Teachers','TEACHER','Instruction - Regular',nan,nan,nan,nan,nan,'Project Grad',47365.65
69,nan,nan,'NON-PROJECT',nan,"'Teacher, Secondary (High) '",'LEADERSHIP DEVELOPMENT','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-76.31
70,nan,nan,'NON-PROJECT',nan,'Campus Security Officer ',nan,'EMPLOYEE BENEFITS','OFFICE/ADMINISTRATIVE SUPPORT','SCHOOL SECURITY','GENERAL FUND',nan,'OPERATION AND MAINT OF PLANT','SAFETY AND SECURITY','Alternative',nan,300.71
71,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'","'SKILLS SPECIALIST, ADITIONAL'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Week','MISCELLANEOUS ',nan,nan,nan,208.6657559
72,nan,nan,'STUDENT TRANSPORT SERVICE','General Fund',nan,'ADMIN. SERVICES','REPAIR AND MAINTENANCE SERVICES',nan,'PUPIL TRANSPORTATION','PUPIL TRANSPORTATION',nan,nan,nan,nan,nan,618.29
73,nan,nan,'High School','General',nan,nan,'Classroom Supplies',nan,nan,'Regular Instruction','General Supplies *','SCHOOL BASED MANAGEMENT',nan,nan,nan,4068.82
74,nan,nan,'ATTENDANCE AND SOCIAL WORK    ','GENERAL FUND                  ',nan,'STUDENT SERVICES              ','OUT OF COUNTY TRAVEL          ',nan,nan,nan,nan,'STUDENT SERVICES              ',nan,nan,nan,357.03
75,nan,'Instruction And Curriculum','Instruction',"'""Title  Part A Improving Basic Programs""'",'SKILLS SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'","'""Title  Part A Improving Basic Programs""'",'Extended Week','EXTENDED DAYS',nan,nan,nan,nan
76,nan,'USING DATA HUMAN CAPITAL DECIS','INST STAFF TRAINING SVCS      ','ARRA - RACE TO THE TOP        ','ASSISTANT PRINCIPAL I-HIGH    ','CHIEF ACADEMIC OFFICER        ','WORKSHOP PARTICIPANT          ',nan,nan,nan,nan,'RACE TO THE TOP               ',nan,nan,nan,105.16
77,0.89,'All Campus Payroll','Instruction','General Operating Fund',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Basic Educational Services','Operations','Salaries And Wages For Teachers And Other Professi','REGULAR PAY',nan,nan,'Basic Educational Services - District Objective ',51274.75743
78,nan,nan,'SPECIAL EDUCATION - ITINERANT',nan,'Speech Language Pathologst ','SPECIAL EDUCATION','EMPLOYEE BENEFITS','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-S/L','GENERAL FUND',nan,'SPECIAL EDUCATION','SPEECH & LANGUAGE','n/a',nan,4999.91
79,0.19939395,nan,'TITLE VI-IDEA B-MAIN',nan,'Occupational Therapist ','SPECIAL EDUCATION','SALARIES OF REGULAR EMPLOYEES','PROFESSIONAL-INSTRUCTIONAL','SPECIAL EDUCATION-OT','FEDERAL GDPG FUND - FY ',nan,'SPECIAL EDUCATION',nan,'n/a',nan,18706.49711
80,0.015086207,nan,'CLASS-SIZE RELIEF FUND',nan,"'Teacher, Long Term Sub HS '",'CHIEF ACADEMIC OFFICER','SALARIES OF TEMPORARY EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','OTHER GENERAL EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER CLASS SIZE RELIEF','n/a',nan,692.2278577
81,nan,nan,'GUIDANCE SERVICES             ','GENERAL FUND                  ',nan,'School ','SUPPLIES                      ',nan,nan,nan,nan,'SCHOOL OPERATING ACCOUNT      ',nan,nan,nan,153.05
82,1,nan,nan,nan,'SECURITY ASSISTANT','SECURITY',nan,nan,nan,'LOCAL',nan,nan,'SECURITY SERVICES',nan,nan,55291.83669
83,nan,nan,'BASIC (FEFP K-12)             ','GENERAL FUND                  ',nan,'School ','TEXTBOOKS                     ',nan,nan,nan,nan,'LOCAL ALLOC SAI               ',nan,nan,nan,1926.28
84,nan,'Transportation Department','Transportation','General Operating Fund',"'TEACHER, VOCATIONAL EDUCATION'",'Unallocated','Extra Duty Pay/Overtime For Support Personnel','BUS DRIVER','Undistributed','Operations','Extra Duty Pay/Overtime For Support Personnel','ADDL REGULAR PAY-NOT SMOOTHED',nan,nan,'transportation - aides',8189.381513
85,nan,'NETWORK OPS                   ','OPERATION OF PLANT            ','GENERAL FUND                  ',nan,'VOCATIONAL EDUCATION          ','DEDICATED DATA LINE           ',nan,nan,nan,nan,nan,nan,nan,nan,27.06
86,0.00862069,nan,'ALL DAY KINDERGARTEN',nan,'School Crossing Guard ',nan,'SALARIES OF PART TIME EMPLOYEE','PARAPROFESSIONAL','GENERAL ELEMENTARY EDUCATION',' MILL LEVY',nan,'REGULAR INSTRUCTION',nan,'Regular',nan,132.682542
87,nan,nan,'Instruction And Curriculum Development Services *','Special Trust',nan,nan,'Supplies and Materials',nan,nan,'Support Services - Instructional Staff','Supplies And Materials','ITEMS-VARIOUS GRANTS',nan,nan,nan,4569.93
88,nan,nan,'NON-PROJECT',nan,"'Exec Dir, Transportation '",'TRANSPORTATION','EMPLOYER PD MED CONTRIBUTION','ADMINISTRATOR','PUPIL TRANSPORTATION SERVICES','GENERAL FUND',nan,'STUDENT TRANSPORTATION',nan,'n/a',nan,504.89
89,nan,nan,'NON-PROJECT',nan,"'Supt, Instructional '",nan,'SALARIES OF REGULAR EMPLOYEES','ADMINISTRATOR','SUPPORT SERVICES-INSTRUCTIONAL','GENERAL FUND',nan,'INSTRUCTIONAL STAFF','INSTRUCTIONAL SUPPORT TEAMS','n/a',nan,21580.66368
90,nan,'All Campus Payroll','Instruction','General Operating Fund','ACADEMIC SPECIALIST','School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR',"'""Title I, Part A Schoolwide Activities Related To State Comp'",'State Ed. Allotment','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,nan,1564.483169
91,nan,nan,'NON-PROJECT',nan,'Nurse ','SCHOOL NURSE SERVICES','ADDITIONAL/EXTRA DUTY PAY/STIP','PROFESSIONAL-INSTRUCTIONAL','NURSING SERVICES','GENERAL FUND',nan,'STUDENTS','SCHOOL NURSE SERVICES','n/a',nan,1766.8168
92,nan,'Instruction And Curriculum','Instructional Leadership','Idea Part B Formula',nan,'School ','General Supplies',nan,'Services To Students With Disabilities (Special Education)',nan,'Capital Supplies ( Unit Cost  and > ',nan,'SUPPLIES & MATERIALS',nan,'Printers for teachers and therapists',341.27
93,nan,nan,"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','NON-CAPITALIZED  EQUIP        ',nan,nan,nan,nan,'GROWTH                        ',nan,nan,nan,556.91
94,nan,'All Campus Payroll','Instruction','General Operating Fund',"'TEACHER, REGULAR'",'School ','Salaries And Wages For Teachers And Other Professi','TEACHER BACHELOR','Basic Educational Services','Operations','Critical Needs Incentive','CRITICAL NEEDS SUPPLEMENT',nan,nan,'Basic Educational Services - District Objective ',3126.915517
95,nan,nan,'INSTRUCTION','General Fund',nan,nan,'SUPPLIES',nan,'KINDERGARTEN',"'KINDERGARTEN, QBE'",nan,nan,nan,nan,nan,-501.6
96,nan,nan,'EMPLOYEE RETIREMENT',nan,'Educ Tech Specialist III ',nan,'RETIREMENT CONTRIB.','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,1016.28
97,nan,nan,'NON-PROJECT',nan,'Legal Assistant FT ','SCHOOL ATTORNEY','CONTRA BENEFITS','UNDESIGNATED','EMPLOYEE BENEFITS','GENERAL FUND',nan,'EMPLOYEE BENEFITS',nan,'n/a',nan,-1146.28
98,nan,nan,"'PLANNING,RES,DEV,& EVAL       '",'GENERAL FUND                  ',nan,'GROWTH                        ','SUPPLIES                      ',nan,nan,nan,nan,'GROWTH                        ',nan,nan,nan,4089.55
99,nan,nan,'INSTRUCTION','Pre-Kindergarten (Lottery)',nan,nan,'SUPPLIES',nan,'PREKINDERGARTEN PROGRAM','PRE-KINDERGARTEN PGM-LOTTERY INSTRUCT',nan,nan,nan,nan,nan,1172.59
100,0,nan,nan,'General Purpose School',nan,nan,'Personal Services - Teachers','CCOACH CERT TCHRACCT','Instruction - Regular',nan,nan,nan,nan,nan,'Regular Instruction',4515.65
101,0.00862069,nan,'UNALLOC BUDGETS/SCHOOLS',nan,"'Teacher,Retrd Shrt Term Sub '",nan,'SALARIES OF PART TIME EMPLOYEE','PROFESSIONAL-INSTRUCTIONAL','GENERAL ELEMENTARY EDUCATION','GENERAL FUND',nan,'REGULAR INSTRUCTION','TEACHER SUBS','Regular',nan,257.8299699
102,nan,nan,'NON-PROJECT',nan,"'Manager, Food Service III '",'FOOD AND NUTRITION SERVICES','SALARIES FOR OVERTIME',"'CRAFTS, TRADES, AND SERVICES'",'FOOD PREPARATION/SERVING','FOOD SERVICE FUND',nan,'FOOD SERVICES OPERATIONS','FOOD SERVICES','n/a',nan,87.64
103,nan,nan,'EDUCATIONAL MEDIA SERVICE','General Fund',nan,'ADMIN. SERVICES','PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES',nan,'MEDIA CENTERS','MEDIA CENTERS',nan,nan,nan,nan,nan,1895.2
104,1,nan,nan,'General Fund','Clinic Assistant',nan,nan,'CLINIC ASSISTANT ','NURSES',nan,nan,nan,nan,nan,nan,23639.31441
