,Dew Point (deg F),Pressure (atm),Temperature (deg F)
170,71.2,1.0,76.5
171,71.3,1.0,75.8
172,71.3,1.0,75.2
173,71.0,1.0,74.6
174,71.0,1.0,74.6
175,72.1,1.0,75.9
176,72.7,1.0,79.7
177,72.2,1.0,83.3
178,71.2,1.0,86.5
179,70.2,1.0,89.4
180,69.2,1.0,91.7
181,68.5,1.0,93.3
182,67.7,1.0,94.5
183,67.2,1.0,95.2
184,66.8,1.0,94.9
185,66.9,1.0,94.1
186,66.7,1.0,92.4
187,67.8,1.0,89.5
188,68.7,1.0,85.7
189,69.4,1.0,83.3
190,69.9,1.0,81.7
191,70.5,1.0,80.0
192,70.6,1.0,79.2
193,71.0,1.0,77.5
194,71.2,1.0,76.5
195,71.3,1.0,75.8
196,71.2,1.0,75.2
197,71.0,1.0,74.6
198,71.0,1.0,74.6
199,72.1,1.0,75.9
200,72.7,1.0,79.7
201,72.2,1.0,83.3
202,71.2,1.0,86.4
203,70.3,1.0,89.4
204,69.2,1.0,91.7
205,68.6,1.0,93.3
206,67.8,1.0,94.5
207,67.2,1.0,95.2
208,66.9,1.0,94.9
209,67.0,1.0,94.1
210,66.8,1.0,92.2
211,67.8,1.0,89.3
212,68.7,1.0,85.6
213,69.4,1.0,83.2
214,69.9,1.0,81.6
215,70.4,1.0,79.9
216,70.6,1.0,79.1
217,71.0,1.0,77.4
218,71.2,1.0,76.4
219,71.2,1.0,75.8
220,71.2,1.0,75.2
221,71.0,1.0,74.6
222,71.0,1.0,74.6
223,72.0,1.0,75.9
224,72.7,1.0,79.6
225,72.2,1.0,83.3
226,71.2,1.0,86.4
227,70.3,1.0,89.4
228,69.2,1.0,91.7
229,68.5,1.0,93.2
230,67.8,1.0,94.4
231,67.2,1.0,95.1
232,66.9,1.0,94.8
233,67.0,1.0,94.1
234,66.8,1.0,92.3
235,67.8,1.0,89.2
236,68.8,1.0,85.6
237,69.5,1.0,83.2
238,69.9,1.0,81.6
239,70.5,1.0,79.9
240,70.6,1.0,79.1
241,71.0,1.0,77.4
242,71.2,1.0,76.5
243,71.3,1.0,75.8
244,71.3,1.0,75.3
245,71.1,1.0,74.7
246,71.0,1.0,74.6
247,72.0,1.0,75.9
248,72.7,1.0,79.6
249,72.3,1.0,83.3
250,71.3,1.0,86.4
251,70.3,1.0,89.3
252,69.2,1.0,91.7
253,68.6,1.0,93.2
254,67.8,1.0,94.4
255,67.3,1.0,95.0
256,67.0,1.0,94.7
257,67.0,1.0,94.0
258,66.8,1.0,92.1
259,67.9,1.0,89.0
260,68.8,1.0,85.5
261,69.4,1.0,83.1
262,69.9,1.0,81.6
263,70.4,1.0,80.0
264,70.5,1.0,79.2
265,71.0,1.0,77.5
266,71.2,1.0,76.5
267,71.3,1.0,75.8
268,71.2,1.0,75.3
269,71.1,1.0,74.8
270,71.0,1.0,74.7
271,72.0,1.0,75.9
272,72.7,1.0,79.6
273,72.3,1.0,83.2
274,71.3,1.0,86.4
275,70.3,1.0,89.2
276,69.2,1.0,91.6
277,68.6,1.0,93.1
278,67.8,1.0,94.4
279,67.3,1.0,94.9
280,67.0,1.0,94.7
281,67.0,1.0,94.0
282,66.8,1.0,92.1
283,67.8,1.0,89.0
284,68.7,1.0,85.5
285,69.3,1.0,83.2
286,69.9,1.0,81.7
287,70.3,1.0,80.1
288,70.5,1.0,79.2
289,71.0,1.0,77.5
290,71.2,1.0,76.6
291,71.3,1.0,75.9
292,71.2,1.0,75.4
293,71.1,1.0,74.8
294,70.9,1.0,74.7
295,72.0,1.0,75.9
296,72.7,1.0,79.6
297,72.3,1.0,83.2
298,71.3,1.0,86.4
299,70.3,1.0,89.3
300,69.2,1.0,91.6
301,68.5,1.0,93.2
302,67.8,1.0,94.4
303,67.2,1.0,95.0
304,66.9,1.0,94.8
305,66.9,1.0,94.1
306,66.7,1.0,92.3
307,67.7,1.0,89.2
308,68.7,1.0,85.7
309,69.4,1.0,83.4
310,69.9,1.0,81.7
311,70.4,1.0,80.2
312,70.5,1.0,79.2
313,70.9,1.0,77.5
314,71.2,1.0,76.5
315,71.3,1.0,75.9
316,71.2,1.0,75.4
317,71.1,1.0,74.9
318,70.9,1.0,74.7
319,71.9,1.0,75.9
320,72.7,1.0,79.5
321,72.3,1.0,83.1
322,71.3,1.0,86.3
323,70.3,1.0,89.2
324,69.2,1.0,91.5
325,68.5,1.0,93.1
326,67.8,1.0,94.3
327,67.2,1.0,94.9
328,66.9,1.0,94.7
329,66.9,1.0,94.0
330,66.8,1.0,92.1
331,67.9,1.0,89.0
332,68.8,1.0,85.6
333,69.4,1.0,83.3
334,69.9,1.0,81.6
335,70.4,1.0,80.1
336,70.5,1.0,79.1
337,70.9,1.0,77.4
338,71.1,1.0,76.4
339,71.2,1.0,75.8
340,71.2,1.0,75.3
341,71.1,1.0,74.8
342,70.9,1.0,74.7
343,71.9,1.0,75.8
344,72.7,1.0,79.5
345,72.3,1.0,83.1
346,71.3,1.0,86.2
347,70.3,1.0,89.1
348,69.2,1.0,91.4
349,68.5,1.0,93.0
350,67.8,1.0,94.2
351,67.2,1.0,94.7
352,66.9,1.0,94.6
353,67.0,1.0,93.9
354,66.8,1.0,91.9
355,67.9,1.0,88.8
356,68.9,1.0,85.5
357,69.5,1.0,83.3
358,70.0,1.0,81.6
359,70.4,1.0,80.0
360,70.6,1.0,79.1
361,71.0,1.0,77.4
362,71.2,1.0,76.5
363,71.3,1.0,75.9
364,71.2,1.0,75.3
365,71.1,1.0,74.8
366,70.9,1.0,74.7
367,72.0,1.0,75.8
368,72.8,1.0,79.4
369,72.4,1.0,83.1
370,71.4,1.0,86.2
371,70.4,1.0,89.0
372,69.3,1.0,91.4
373,68.6,1.0,93.0
374,67.9,1.0,94.2
375,67.2,1.0,94.7
376,66.9,1.0,94.6
377,67.0,1.0,94.0
378,66.8,1.0,92.0
379,67.9,1.0,88.9
380,68.9,1.0,85.5
381,69.5,1.0,83.4
382,70.0,1.0,81.7
383,70.4,1.0,80.1
384,70.6,1.0,79.2
385,71.0,1.0,77.5
386,71.2,1.0,76.6
387,71.3,1.0,75.9
388,71.2,1.0,75.3
389,71.1,1.0,74.8
390,71.0,1.0,74.8
391,72.0,1.0,75.9
392,72.8,1.0,79.5
393,72.5,1.0,83.2
394,71.4,1.0,86.3
395,70.4,1.0,89.1
396,69.3,1.0,91.5
397,68.6,1.0,93.1
398,67.9,1.0,94.3
399,67.3,1.0,94.8
400,67.0,1.0,94.6
401,67.0,1.0,94.0
402,67.0,1.0,92.0
403,68.0,1.0,88.8
404,69.0,1.0,85.5
405,69.6,1.0,83.3
406,70.1,1.0,81.6
407,70.5,1.0,80.1
408,70.6,1.0,79.2
409,71.0,1.0,77.5
410,71.2,1.0,76.6
411,71.3,1.0,75.9
412,71.3,1.0,75.4
413,71.1,1.0,74.9
414,71.0,1.0,74.8
415,72.0,1.0,75.9
416,72.9,1.0,79.5
417,72.5,1.0,83.1
418,71.5,1.0,86.3
419,70.5,1.0,89.1
420,69.4,1.0,91.5
421,68.7,1.0,93.1
422,67.9,1.0,94.3
423,67.3,1.0,94.8
424,67.1,1.0,94.6
425,67.1,1.0,93.9
426,67.1,1.0,91.9
427,68.1,1.0,88.8
428,68.9,1.0,85.6
429,69.5,1.0,83.4
430,70.1,1.0,81.7
431,70.5,1.0,80.1
432,70.6,1.0,79.2
433,70.9,1.0,77.5
434,71.1,1.0,76.6
435,71.2,1.0,75.9
436,71.2,1.0,75.3
437,71.0,1.0,74.9
438,70.9,1.0,74.8
439,71.9,1.0,75.8
440,72.8,1.0,79.5
441,72.5,1.0,83.1
442,71.5,1.0,86.3
443,70.4,1.0,89.1
444,69.3,1.0,91.5
445,68.6,1.0,93.1
446,67.9,1.0,94.3
447,67.3,1.0,94.8
448,67.0,1.0,94.7
449,67.0,1.0,94.0
450,67.0,1.0,92.1
451,68.1,1.0,88.9
452,68.9,1.0,85.7
453,69.5,1.0,83.5
454,70.1,1.0,81.7
455,70.5,1.0,80.2
456,70.6,1.0,79.2
457,70.9,1.0,77.6
458,71.0,1.0,76.6
459,71.1,1.0,75.9
460,71.1,1.0,75.3
461,71.0,1.0,74.8
462,70.8,1.0,74.7
463,71.9,1.0,75.8
464,72.8,1.0,79.5
465,72.4,1.0,83.2
466,71.4,1.0,86.4
467,70.4,1.0,89.2
468,69.2,1.0,91.5
469,68.6,1.0,93.2
470,67.9,1.0,94.4
471,67.2,1.0,94.8
472,66.9,1.0,94.7
473,66.9,1.0,94.1
474,67.0,1.0,92.1
475,68.0,1.0,88.9
476,68.9,1.0,85.7
477,69.5,1.0,83.5
478,70.1,1.0,81.8
479,70.4,1.0,80.2
480,70.5,1.0,79.3
481,70.8,1.0,77.6
482,71.0,1.0,76.6
483,71.1,1.0,75.9
484,71.1,1.0,75.3
485,71.0,1.0,74.8
486,70.8,1.0,74.7
487,71.9,1.0,75.7
488,72.7,1.0,79.4
489,72.4,1.0,83.1
490,71.4,1.0,86.3
491,70.4,1.0,89.1
492,69.3,1.0,91.4
493,68.6,1.0,93.1
494,67.8,1.0,94.3
495,67.3,1.0,94.7
496,67.0,1.0,94.6
497,67.0,1.0,94.0
498,67.0,1.0,92.0
499,68.1,1.0,88.7
500,68.9,1.0,85.5
501,69.5,1.0,83.4
502,70.1,1.0,81.7
503,70.4,1.0,80.1
504,70.4,1.0,79.2
505,70.8,1.0,77.5
506,70.9,1.0,76.5
507,71.0,1.0,75.8
508,71.0,1.0,75.2
509,70.9,1.0,74.8
510,70.8,1.0,74.7
511,71.7,1.0,75.6
512,72.6,1.0,79.4
513,72.3,1.0,83.0
514,71.3,1.0,86.3
515,70.3,1.0,89.0
516,69.2,1.0,91.4
517,68.5,1.0,93.0
518,67.8,1.0,94.2
519,67.2,1.0,94.6
520,66.9,1.0,94.6
521,66.9,1.0,93.8
522,66.9,1.0,91.7
523,67.9,1.0,88.5
524,68.7,1.0,85.4
525,69.3,1.0,83.3
526,70.0,1.0,81.6
527,70.2,1.0,80.0
528,70.3,1.0,79.1
529,70.6,1.0,77.4
530,70.7,1.0,76.5
531,70.8,1.0,75.7
532,70.8,1.0,75.1
533,70.7,1.0,74.6
534,70.6,1.0,74.5
535,71.5,1.0,75.5
536,72.5,1.0,79.2
537,72.1,1.0,82.9
538,71.2,1.0,86.2
539,70.1,1.0,88.9
540,69.0,1.0,91.3
541,68.4,1.0,92.8
542,67.6,1.0,94.0
543,67.1,1.0,94.5
544,66.8,1.0,94.5
545,66.8,1.0,93.7
546,66.8,1.0,91.6
547,67.8,1.0,88.3
548,68.6,1.0,85.2
549,69.2,1.0,83.1
550,69.9,1.0,81.4
551,70.1,1.0,79.9
552,70.1,1.0,78.9
553,70.5,1.0,77.3
554,70.6,1.0,76.4
555,70.7,1.0,75.7
556,70.7,1.0,75.0
557,70.6,1.0,74.5
558,70.5,1.0,74.4
559,71.4,1.0,75.4
560,72.4,1.0,79.2
561,72.0,1.0,82.9
562,71.1,1.0,86.2
563,70.2,1.0,88.8
564,69.0,1.0,91.1
565,68.4,1.0,92.7
566,67.6,1.0,93.9
567,67.1,1.0,94.3
568,66.8,1.0,94.3
569,66.8,1.0,93.5
570,66.8,1.0,91.5
571,67.9,1.0,88.2
572,68.6,1.0,85.1
573,69.2,1.0,83.0
574,69.9,1.0,81.3
575,70.1,1.0,79.7
576,70.1,1.0,78.9
577,70.5,1.0,77.3
578,70.5,1.0,76.4
579,70.6,1.0,75.6
580,70.6,1.0,74.9
581,70.5,1.0,74.5
582,70.4,1.0,74.3
583,71.3,1.0,75.3
584,72.2,1.0,79.1
585,71.9,1.0,82.7
586,71.1,1.0,86.0
587,70.1,1.0,88.7
588,69.0,1.0,91.0
589,68.4,1.0,92.6
590,67.6,1.0,93.8
591,67.1,1.0,94.1
592,66.8,1.0,94.0
593,66.8,1.0,93.2
594,66.8,1.0,91.2
595,67.8,1.0,87.9
596,68.5,1.0,84.9
597,69.2,1.0,82.7
598,69.8,1.0,81.0
599,70.0,1.0,79.6
600,70.0,1.0,78.8
601,70.3,1.0,77.2
602,70.4,1.0,76.2
603,70.5,1.0,75.5
604,70.4,1.0,74.8
605,70.4,1.0,74.4
606,70.3,1.0,74.2
607,71.2,1.0,75.2
608,72.1,1.0,79.0
609,71.8,1.0,82.6
610,71.0,1.0,85.9
611,70.1,1.0,88.6
612,68.9,1.0,90.9
613,68.3,1.0,92.4
614,67.6,1.0,93.6
615,67.1,1.0,94.0
616,66.7,1.0,93.9
617,66.8,1.0,93.0
618,66.8,1.0,91.0
619,67.8,1.0,87.8
620,68.5,1.0,84.7
621,69.1,1.0,82.6
622,69.8,1.0,81.0
623,69.9,1.0,79.4
624,70.0,1.0,78.6
625,70.3,1.0,77.0
626,70.3,1.0,76.2
627,70.4,1.0,75.4
628,70.3,1.0,74.7
629,70.3,1.0,74.2
630,70.1,1.0,74.1
631,71.0,1.0,75.0
632,72.0,1.0,78.9
633,71.7,1.0,82.6
634,71.0,1.0,85.8
635,70.0,1.0,88.6
636,68.8,1.0,90.8
637,68.3,1.0,92.3
638,67.6,1.0,93.3
639,67.1,1.0,93.7
640,66.7,1.0,93.6
641,66.8,1.0,92.7
642,66.8,1.0,90.7
643,67.8,1.0,87.5
644,68.5,1.0,84.4
645,69.1,1.0,82.2
646,69.7,1.0,80.7
647,69.9,1.0,79.2
648,69.9,1.0,78.4
649,70.2,1.0,76.9
650,70.2,1.0,76.0
651,70.2,1.0,75.3
652,70.2,1.0,74.6
653,70.1,1.0,74.1
654,70.0,1.0,74.0
655,70.8,1.0,74.9
656,71.7,1.0,78.7
657,71.5,1.0,82.4
658,70.8,1.0,85.7
659,69.9,1.0,88.4
660,68.8,1.0,90.6
661,68.2,1.0,92.1
662,67.5,1.0,93.1
663,67.0,1.0,93.5
664,66.7,1.0,93.3
665,66.7,1.0,92.3
666,66.8,1.0,90.3
667,67.7,1.0,87.1
668,68.4,1.0,84.1
669,69.0,1.0,81.9
670,69.6,1.0,80.4
671,69.8,1.0,78.9
672,69.8,1.0,78.2
673,70.1,1.0,76.7
674,70.1,1.0,75.9
675,70.1,1.0,75.1
676,70.1,1.0,74.5
677,69.9,1.0,74.0
678,69.8,1.0,73.8
679,70.7,1.0,74.7
680,71.6,1.0,78.5
681,71.4,1.0,82.2
682,70.7,1.0,85.5
683,69.8,1.0,88.2
684,68.7,1.0,90.4
685,68.1,1.0,91.9
686,67.4,1.0,92.9
687,67.0,1.0,93.3
688,66.6,1.0,93.2
689,66.6,1.0,92.2
690,66.6,1.0,90.1
691,67.5,1.0,86.9
692,68.2,1.0,83.9
693,68.8,1.0,81.7
694,69.3,1.0,80.1
695,69.6,1.0,78.7
696,69.6,1.0,78.0
697,69.8,1.0,76.5
698,69.9,1.0,75.7
699,69.8,1.0,74.9
700,69.8,1.0,74.3
701,69.7,1.0,73.7
702,69.6,1.0,73.7
703,70.4,1.0,74.5
704,71.3,1.0,78.3
705,71.2,1.0,82.1
706,70.6,1.0,85.4
707,69.7,1.0,88.1
708,68.5,1.0,90.4
709,68.0,1.0,91.8
710,67.3,1.0,92.8
711,66.8,1.0,93.3
712,66.4,1.0,93.1
713,66.4,1.0,92.1
714,66.4,1.0,90.0
715,67.3,1.0,86.8
716,67.9,1.0,83.7
717,68.5,1.0,81.5
718,69.1,1.0,79.9
719,69.3,1.0,78.4
720,69.3,1.0,77.8
721,69.6,1.0,76.3
722,69.6,1.0,75.5
723,69.6,1.0,74.7
724,69.6,1.0,74.1
725,69.4,1.0,73.5
726,69.3,1.0,73.4
727,70.1,1.0,74.3
728,71.1,1.0,78.1
729,71.0,1.0,81.9
730,70.4,1.0,85.2
731,69.5,1.0,87.9
732,68.5,1.0,90.1
733,67.9,1.0,91.6
734,67.2,1.0,92.6
735,66.7,1.0,93.1
736,66.2,1.0,93.0
737,66.3,1.0,91.9
738,66.3,1.0,89.8
739,67.2,1.0,86.6
740,67.8,1.0,83.4
741,68.4,1.0,81.2
742,68.9,1.0,79.7
743,69.2,1.0,78.2
