,Date,Temperature
124,20100106 04:00,43.9
125,20100106 05:00,43.2
126,20100106 06:00,43.4
127,20100106 07:00,42.6
128,20100106 08:00,42.8
129,20100106 09:00,46.2
130,20100106 10:00,49.7
131,20100106 11:00,52.8
132,20100106 12:00,55.3
133,20100106 13:00,57.5
134,20100106 14:00,58.8
135,20100106 15:00,59.6
136,20100106 16:00,59.5
137,20100106 17:00,58.3
138,20100106 18:00,55.1
139,20100106 19:00,51.5
140,20100106 20:00,49.4
141,20100106 21:00,48.2
142,20100106 22:00,47.2
143,20100106 23:00,46.3
144,20100107 00:00,46.4
145,20100107 01:00,44.8
146,20100107 02:00,44.4
147,20100107 03:00,44.1
148,20100107 04:00,43.6
149,20100107 05:00,43.0
150,20100107 06:00,43.1
151,20100107 07:00,42.3
152,20100107 08:00,42.5
153,20100107 09:00,45.9
154,20100107 10:00,49.5
155,20100107 11:00,52.7
156,20100107 12:00,55.2
157,20100107 13:00,57.4
158,20100107 14:00,58.8
159,20100107 15:00,59.5
160,20100107 16:00,59.5
161,20100107 17:00,58.3
162,20100107 18:00,55.0
163,20100107 19:00,51.4
164,20100107 20:00,49.3
165,20100107 21:00,48.0
166,20100107 22:00,47.0
167,20100107 23:00,46.1
168,20100108 00:00,46.2
169,20100108 01:00,44.6
170,20100108 02:00,44.3
171,20100108 03:00,43.9
172,20100108 04:00,43.4
173,20100108 05:00,42.8
174,20100108 06:00,42.9
175,20100108 07:00,42.1
176,20100108 08:00,42.2
177,20100108 09:00,45.7
178,20100108 10:00,49.3
179,20100108 11:00,52.5
180,20100108 12:00,55.0
181,20100108 13:00,57.2
182,20100108 14:00,58.6
183,20100108 15:00,59.4
184,20100108 16:00,59.4
185,20100108 17:00,58.2
186,20100108 18:00,55.0
187,20100108 19:00,51.4
188,20100108 20:00,49.4
189,20100108 21:00,48.1
190,20100108 22:00,47.1
191,20100108 23:00,46.1
192,20100109 00:00,46.2
193,20100109 01:00,44.7
194,20100109 02:00,44.3
195,20100109 03:00,43.9
196,20100109 04:00,43.4
197,20100109 05:00,42.9
198,20100109 06:00,43.0
199,20100109 07:00,42.3
200,20100109 08:00,42.4
201,20100109 09:00,45.8
202,20100109 10:00,49.3
203,20100109 11:00,52.5
204,20100109 12:00,55.0
205,20100109 13:00,57.1
206,20100109 14:00,58.5
207,20100109 15:00,59.3
208,20100109 16:00,59.2
209,20100109 17:00,58.1
210,20100109 18:00,54.8
211,20100109 19:00,51.3
212,20100109 20:00,49.3
213,20100109 21:00,48.0
214,20100109 22:00,47.0
215,20100109 23:00,46.2
216,20100110 00:00,46.2
217,20100110 01:00,44.7
218,20100110 02:00,44.3
219,20100110 03:00,43.9
220,20100110 04:00,43.4
221,20100110 05:00,42.9
222,20100110 06:00,43.0
223,20100110 07:00,42.3
224,20100110 08:00,42.5
225,20100110 09:00,45.8
226,20100110 10:00,49.3
227,20100110 11:00,52.5
228,20100110 12:00,55.0
229,20100110 13:00,57.1
230,20100110 14:00,58.5
231,20100110 15:00,59.3
232,20100110 16:00,59.3
233,20100110 17:00,58.1
234,20100110 18:00,54.8
235,20100110 19:00,51.3
236,20100110 20:00,49.3
237,20100110 21:00,47.9
238,20100110 22:00,47.0
239,20100110 23:00,46.1
240,20100111 00:00,46.1
241,20100111 01:00,44.7
242,20100111 02:00,44.2
243,20100111 03:00,43.8
244,20100111 04:00,43.4
245,20100111 05:00,42.9
246,20100111 06:00,42.9
247,20100111 07:00,42.3
248,20100111 08:00,42.5
249,20100111 09:00,45.8
250,20100111 10:00,49.2
251,20100111 11:00,52.3
252,20100111 12:00,54.8
253,20100111 13:00,56.8
254,20100111 14:00,58.2
255,20100111 15:00,59.1
256,20100111 16:00,59.0
257,20100111 17:00,57.9
258,20100111 18:00,54.7
259,20100111 19:00,51.1
260,20100111 20:00,49.2
261,20100111 21:00,47.9
262,20100111 22:00,47.0
263,20100111 23:00,46.1
264,20100112 00:00,46.0
265,20100112 01:00,44.6
266,20100112 02:00,44.2
267,20100112 03:00,43.8
268,20100112 04:00,43.4
269,20100112 05:00,43.0
270,20100112 06:00,43.0
271,20100112 07:00,42.4
272,20100112 08:00,42.6
273,20100112 09:00,45.8
274,20100112 10:00,49.2
275,20100112 11:00,52.3
276,20100112 12:00,54.8
277,20100112 13:00,56.8
278,20100112 14:00,58.2
279,20100112 15:00,59.1
280,20100112 16:00,59.0
281,20100112 17:00,58.0
282,20100112 18:00,54.8
283,20100112 19:00,51.2
284,20100112 20:00,49.3
285,20100112 21:00,48.0
286,20100112 22:00,47.1
287,20100112 23:00,46.1
288,20100113 00:00,46.1
289,20100113 01:00,44.6
290,20100113 02:00,44.1
291,20100113 03:00,43.8
292,20100113 04:00,43.4
293,20100113 05:00,43.0
294,20100113 06:00,43.1
295,20100113 07:00,42.5
296,20100113 08:00,42.7
297,20100113 09:00,45.8
298,20100113 10:00,49.2
299,20100113 11:00,52.3
300,20100113 12:00,54.7
301,20100113 13:00,56.8
302,20100113 14:00,58.1
303,20100113 15:00,59.0
304,20100113 16:00,59.0
305,20100113 17:00,57.9
306,20100113 18:00,54.8
307,20100113 19:00,51.3
308,20100113 20:00,49.3
309,20100113 21:00,48.0
310,20100113 22:00,47.1
311,20100113 23:00,46.0
312,20100114 00:00,46.0
313,20100114 01:00,44.6
314,20100114 02:00,44.0
315,20100114 03:00,43.6
316,20100114 04:00,43.2
317,20100114 05:00,42.8
318,20100114 06:00,42.9
319,20100114 07:00,42.2
320,20100114 08:00,42.4
321,20100114 09:00,45.8
322,20100114 10:00,49.1
323,20100114 11:00,52.2
324,20100114 12:00,54.6
325,20100114 13:00,56.7
326,20100114 14:00,58.1
327,20100114 15:00,59.0
328,20100114 16:00,59.0
329,20100114 17:00,58.0
330,20100114 18:00,54.8
331,20100114 19:00,51.2
332,20100114 20:00,49.2
333,20100114 21:00,47.8
334,20100114 22:00,46.8
335,20100114 23:00,45.8
336,20100115 00:00,45.8
337,20100115 01:00,44.4
338,20100115 02:00,43.9
339,20100115 03:00,43.4
340,20100115 04:00,43.0
341,20100115 05:00,42.6
342,20100115 06:00,42.8
343,20100115 07:00,42.1
344,20100115 08:00,42.3
345,20100115 09:00,45.8
346,20100115 10:00,49.2
347,20100115 11:00,52.3
348,20100115 12:00,54.7
349,20100115 13:00,56.8
350,20100115 14:00,58.2
351,20100115 15:00,59.2
352,20100115 16:00,59.1
353,20100115 17:00,58.1
354,20100115 18:00,54.9
355,20100115 19:00,51.2
356,20100115 20:00,49.3
357,20100115 21:00,47.9
358,20100115 22:00,46.9
359,20100115 23:00,45.8
360,20100116 00:00,45.7
361,20100116 01:00,44.5
362,20100116 02:00,44.0
363,20100116 03:00,43.5
364,20100116 04:00,43.1
365,20100116 05:00,42.7
366,20100116 06:00,42.8
367,20100116 07:00,42.1
368,20100116 08:00,42.5
369,20100116 09:00,45.9
370,20100116 10:00,49.3
371,20100116 11:00,52.4
372,20100116 12:00,54.7
373,20100116 13:00,56.9
374,20100116 14:00,58.3
375,20100116 15:00,59.2
376,20100116 16:00,59.2
377,20100116 17:00,58.2
378,20100116 18:00,55.0
379,20100116 19:00,51.4
380,20100116 20:00,49.5
381,20100116 21:00,48.1
382,20100116 22:00,47.0
383,20100116 23:00,45.9
384,20100117 00:00,45.7
385,20100117 01:00,44.6
386,20100117 02:00,44.1
387,20100117 03:00,43.6
388,20100117 04:00,43.1
389,20100117 05:00,42.7
390,20100117 06:00,42.8
391,20100117 07:00,42.0
392,20100117 08:00,42.5
393,20100117 09:00,45.9
394,20100117 10:00,49.2
395,20100117 11:00,52.3
396,20100117 12:00,54.6
397,20100117 13:00,56.7
398,20100117 14:00,58.1
399,20100117 15:00,59.1
400,20100117 16:00,59.0
401,20100117 17:00,58.1
402,20100117 18:00,55.0
403,20100117 19:00,51.4
404,20100117 20:00,49.4
405,20100117 21:00,48.0
406,20100117 22:00,47.0
407,20100117 23:00,45.9
408,20100118 00:00,45.7
409,20100118 01:00,44.5
410,20100118 02:00,44.0
411,20100118 03:00,43.4
412,20100118 04:00,43.0
413,20100118 05:00,42.7
414,20100118 06:00,42.7
415,20100118 07:00,42.0
416,20100118 08:00,42.5
417,20100118 09:00,46.0
418,20100118 10:00,49.4
419,20100118 11:00,52.5
420,20100118 12:00,54.8
421,20100118 13:00,57.0
422,20100118 14:00,58.4
423,20100118 15:00,59.4
424,20100118 16:00,59.4
425,20100118 17:00,58.4
426,20100118 18:00,55.4
427,20100118 19:00,51.8
428,20100118 20:00,49.8
429,20100118 21:00,48.4
430,20100118 22:00,47.4
431,20100118 23:00,46.3
432,20100119 00:00,46.0
433,20100119 01:00,44.9
434,20100119 02:00,44.3
435,20100119 03:00,43.8
436,20100119 04:00,43.3
437,20100119 05:00,42.9
438,20100119 06:00,43.0
439,20100119 07:00,42.2
440,20100119 08:00,42.7
441,20100119 09:00,46.2
442,20100119 10:00,49.7
443,20100119 11:00,52.8
444,20100119 12:00,55.1
445,20100119 13:00,57.2
446,20100119 14:00,58.6
447,20100119 15:00,59.6
448,20100119 16:00,59.6
449,20100119 17:00,58.7
450,20100119 18:00,55.6
451,20100119 19:00,52.1
452,20100119 20:00,50.2
453,20100119 21:00,48.8
454,20100119 22:00,47.7
455,20100119 23:00,46.5
456,20100120 00:00,46.1
457,20100120 01:00,45.2
458,20100120 02:00,44.6
459,20100120 03:00,44.0
460,20100120 04:00,43.5
461,20100120 05:00,43.1
462,20100120 06:00,43.1
463,20100120 07:00,42.3
464,20100120 08:00,42.7
465,20100120 09:00,46.2
466,20100120 10:00,49.7
467,20100120 11:00,52.8
468,20100120 12:00,55.1
469,20100120 13:00,57.2
470,20100120 14:00,58.6
471,20100120 15:00,59.7
472,20100120 16:00,59.6
473,20100120 17:00,58.7
474,20100120 18:00,55.7
475,20100120 19:00,52.3
476,20100120 20:00,50.3
477,20100120 21:00,48.9
478,20100120 22:00,47.8
479,20100120 23:00,46.7
480,20100121 00:00,46.2
481,20100121 01:00,45.3
482,20100121 02:00,44.7
483,20100121 03:00,44.3
484,20100121 04:00,43.8
485,20100121 05:00,43.4
486,20100121 06:00,43.5
487,20100121 07:00,42.8
488,20100121 08:00,43.3
489,20100121 09:00,46.6
490,20100121 10:00,50.0
491,20100121 11:00,53.1
492,20100121 12:00,55.4
493,20100121 13:00,57.6
494,20100121 14:00,59.0
495,20100121 15:00,60.1
496,20100121 16:00,60.1
497,20100121 17:00,59.2
498,20100121 18:00,56.2
499,20100121 19:00,52.9
500,20100121 20:00,51.0
501,20100121 21:00,49.6
502,20100121 22:00,48.5
503,20100121 23:00,47.4
504,20100122 00:00,46.9
505,20100122 01:00,46.1
506,20100122 02:00,45.4
507,20100122 03:00,44.9
508,20100122 04:00,44.4
509,20100122 05:00,44.1
510,20100122 06:00,44.1
511,20100122 07:00,43.4
512,20100122 08:00,43.9
513,20100122 09:00,47.1
514,20100122 10:00,50.4
515,20100122 11:00,53.4
516,20100122 12:00,55.7
517,20100122 13:00,57.8
518,20100122 14:00,59.2
519,20100122 15:00,60.3
520,20100122 16:00,60.2
521,20100122 17:00,59.4
522,20100122 18:00,56.5
523,20100122 19:00,53.3
524,20100122 20:00,51.3
525,20100122 21:00,50.0
526,20100122 22:00,48.9
527,20100122 23:00,47.9
528,20100123 00:00,47.4
529,20100123 01:00,46.5
530,20100123 02:00,45.8
531,20100123 03:00,45.3
532,20100123 04:00,44.8
533,20100123 05:00,44.4
534,20100123 06:00,44.5
535,20100123 07:00,43.7
536,20100123 08:00,44.2
537,20100123 09:00,47.4
538,20100123 10:00,50.6
539,20100123 11:00,53.5
540,20100123 12:00,55.8
541,20100123 13:00,57.9
542,20100123 14:00,59.3
543,20100123 15:00,60.4
544,20100123 16:00,60.4
545,20100123 17:00,59.5
546,20100123 18:00,56.8
547,20100123 19:00,53.4
548,20100123 20:00,51.3
549,20100123 21:00,50.0
550,20100123 22:00,48.9
551,20100123 23:00,47.9
552,20100124 00:00,47.4
553,20100124 01:00,46.5
554,20100124 02:00,45.8
555,20100124 03:00,45.3
556,20100124 04:00,44.8
557,20100124 05:00,44.4
558,20100124 06:00,44.5
559,20100124 07:00,43.6
560,20100124 08:00,43.9
561,20100124 09:00,47.2
562,20100124 10:00,50.5
563,20100124 11:00,53.6
564,20100124 12:00,55.9
565,20100124 13:00,58.0
566,20100124 14:00,59.4
567,20100124 15:00,60.5
568,20100124 16:00,60.4
569,20100124 17:00,59.6
570,20100124 18:00,56.9
571,20100124 19:00,53.6
572,20100124 20:00,51.5
573,20100124 21:00,50.1
574,20100124 22:00,49.0
575,20100124 23:00,48.0
576,20100125 00:00,47.5
577,20100125 01:00,46.6
578,20100125 02:00,45.9
579,20100125 03:00,45.4
580,20100125 04:00,44.9
581,20100125 05:00,44.4
582,20100125 06:00,44.6
583,20100125 07:00,43.6
584,20100125 08:00,43.9
585,20100125 09:00,47.2
586,20100125 10:00,50.6
587,20100125 11:00,53.7
588,20100125 12:00,56.0
589,20100125 13:00,58.0
590,20100125 14:00,59.6
591,20100125 15:00,60.6
592,20100125 16:00,60.6
593,20100125 17:00,59.7
594,20100125 18:00,57.1
595,20100125 19:00,53.9
596,20100125 20:00,51.7
597,20100125 21:00,50.3
598,20100125 22:00,49.2
599,20100125 23:00,48.3
600,20100126 00:00,47.7
601,20100126 01:00,46.8
602,20100126 02:00,46.1
603,20100126 03:00,45.5
604,20100126 04:00,45.0
605,20100126 05:00,44.5
606,20100126 06:00,44.6
607,20100126 07:00,43.5
608,20100126 08:00,43.9
609,20100126 09:00,47.3
610,20100126 10:00,50.8
611,20100126 11:00,53.9
612,20100126 12:00,56.2
613,20100126 13:00,58.3
614,20100126 14:00,59.8
615,20100126 15:00,60.9
616,20100126 16:00,60.9
617,20100126 17:00,60.1
618,20100126 18:00,57.4
619,20100126 19:00,54.0
620,20100126 20:00,51.8
621,20100126 21:00,50.3
622,20100126 22:00,49.2
623,20100126 23:00,48.3
624,20100127 00:00,47.7
625,20100127 01:00,46.8
626,20100127 02:00,46.0
627,20100127 03:00,45.5
628,20100127 04:00,44.8
629,20100127 05:00,44.4
630,20100127 06:00,44.5
631,20100127 07:00,43.5
632,20100127 08:00,44.0
633,20100127 09:00,47.4
634,20100127 10:00,50.9
635,20100127 11:00,54.0
636,20100127 12:00,56.3
637,20100127 13:00,58.4
638,20100127 14:00,59.9
639,20100127 15:00,60.9
640,20100127 16:00,60.9
641,20100127 17:00,60.1
642,20100127 18:00,57.5
643,20100127 19:00,54.0
644,20100127 20:00,51.9
645,20100127 21:00,50.4
646,20100127 22:00,49.3
647,20100127 23:00,48.4
648,20100128 00:00,47.8
649,20100128 01:00,46.9
650,20100128 02:00,46.2
651,20100128 03:00,45.6
652,20100128 04:00,45.0
653,20100128 05:00,44.5
654,20100128 06:00,44.5
655,20100128 07:00,43.6
656,20100128 08:00,44.1
657,20100128 09:00,47.5
658,20100128 10:00,51.0
659,20100128 11:00,54.1
660,20100128 12:00,56.4
661,20100128 13:00,58.5
662,20100128 14:00,59.9
663,20100128 15:00,60.9
664,20100128 16:00,61.0
665,20100128 17:00,60.1
666,20100128 18:00,57.6
667,20100128 19:00,54.1
668,20100128 20:00,51.8
669,20100128 21:00,50.5
670,20100128 22:00,49.3
671,20100128 23:00,48.4
672,20100129 00:00,47.9
673,20100129 01:00,47.0
674,20100129 02:00,46.3
675,20100129 03:00,45.7
676,20100129 04:00,45.1
677,20100129 05:00,44.7
678,20100129 06:00,44.8
679,20100129 07:00,43.8
680,20100129 08:00,44.3
681,20100129 09:00,47.6
682,20100129 10:00,51.0
683,20100129 11:00,54.1
684,20100129 12:00,56.3
685,20100129 13:00,58.3
686,20100129 14:00,59.8
687,20100129 15:00,60.7
688,20100129 16:00,60.8
689,20100129 17:00,59.9
690,20100129 18:00,57.5
691,20100129 19:00,54.0
692,20100129 20:00,51.8
693,20100129 21:00,50.4
694,20100129 22:00,49.4
695,20100129 23:00,48.4
696,20100130 00:00,47.8
697,20100130 01:00,46.9
698,20100130 02:00,46.2
699,20100130 03:00,45.6
700,20100130 04:00,45.1
701,20100130 05:00,44.6
702,20100130 06:00,44.7
703,20100130 07:00,43.7
704,20100130 08:00,44.2
705,20100130 09:00,47.5
706,20100130 10:00,50.8
707,20100130 11:00,53.8
708,20100130 12:00,56.1
709,20100130 13:00,58.1
710,20100130 14:00,59.6
711,20100130 15:00,60.6
712,20100130 16:00,60.7
713,20100130 17:00,59.9
714,20100130 18:00,57.5
715,20100130 19:00,54.0
716,20100130 20:00,51.8
717,20100130 21:00,50.4
718,20100130 22:00,49.3
719,20100130 23:00,48.3
720,20100131 00:00,47.8
721,20100131 01:00,46.8
722,20100131 02:00,46.1
723,20100131 03:00,45.5
724,20100131 04:00,45.0
725,20100131 05:00,44.5
726,20100131 06:00,44.7
727,20100131 07:00,43.7
728,20100131 08:00,44.2
729,20100131 09:00,47.5
730,20100131 10:00,50.8
731,20100131 11:00,54.0
732,20100131 12:00,56.2
733,20100131 13:00,58.2
734,20100131 14:00,59.8
735,20100131 15:00,60.7
736,20100131 16:00,60.9
737,20100131 17:00,60.0
738,20100131 18:00,57.7
739,20100131 19:00,54.2
740,20100131 20:00,51.9
741,20100131 21:00,50.4
742,20100131 22:00,49.3
743,20100131 23:00,48.2
744,20100201 00:00,47.8
