,0,1,2,3,4,5,6,7,8,9,10,11,12,target
21,13933660,3.05,0.6,0.287547496,20.80496,2442,117.5528,51.5,1,0,0,0,0,66.200000000000003
22,19570418,5.17,5.3,0.295541639,23.68173,2571,127.2823,113.8,0,0,0,0,1,56.600000000000001
23,33363256,1.68,0.2,16.35039863,27.4521,41468,118.0571,5.8,0,0,0,0,0,80.700000000000003
24,11139740,6.81,3.4,0.047839126,21.48569,1753,127.864,168,0,0,0,0,1,54.799999999999997
25,16645940,1.89,0.4,4.240259136,27.01542,18698,125.5417,8.9,0,0,0,0,0,78.900000000000006
26,44901660,2.43,0.5,1.47609182,24.94041,10489,124.0235,19.7,0,0,0,0,0,75.099999999999994
27,665414,5.05,0.06,0.178853064,22.06131,1440,132.1354,91.2,0,0,0,0,1,62.600000000000001
28,3832771,5.1,3.5,0.384220477,21.87134,5022,131.6935,72.6,0,0,0,0,1,58.600000000000001
29,4429506,1.91,0.3,1.911933419,26.47897,12219,121.35,10.3,0,0,0,0,0,79.700000000000003
30,19261647,4.91,3.7,0.361896603,22.56469,2854,131.5237,116.9,0,0,0,0,1,55.899999999999999
31,4344151,1.43,0.06,5.287902576,26.59629,21873,130.3921,5.9,0,1,0,0,0,76.5
32,11290239,1.5,0.1,2.701777167,25.06867,17765,126.0594,6.3,0,0,0,0,0,77.799999999999997
33,5495302,1.89,0.2,8.541507801,26.13287,45017,119.5815,4.3,0,1,0,0,0,78.700000000000003
34,809639,3.76,2.6,0.612799524,23.38403,2502,129.3376,81,0,0,1,0,0,61.0
35,14447600,2.73,0.4,2.110517801,25.58841,9244,122.9864,26.8,0,0,0,0,0,74.0
36,78976122,2.95,0.06,2.512394205,26.73243,9974,125.0931,31.4,0,0,1,0,0,70.099999999999994
37,6004199,2.32,0.8,1.067764634,26.36751,7450,119.9321,21.6,0,0,0,0,0,74.099999999999994
38,686223,5.31,4.7,6.798253229,23.7664,40143,132.0392,118.4,0,0,0,0,1,56.700000000000003
39,4500638,5.16,0.8,0.083745644,20.88509,1088,125.7948,60.4,0,0,0,0,1,60.399999999999999
40,1339941,1.62,1.2,13.03137887,26.26446,24743,129.5161,5.5,0,1,0,0,0,74.0
41,843206,2.74,0.1,1.277779556,26.53078,7129,127.4768,24,1,0,0,0,0,65.700000000000003
42,5314170,1.85,0.1,10.64411428,26.73339,42122,126.5645,3.3,0,1,0,0,0,79.400000000000006
43,62309529,1.97,0.4,5.999020726,25.85329,37505,120.0146,4.3,0,1,0,0,0,81.0
44,1473741,4.28,5.3,1.079539317,24.0762,15800,130.3625,68,0,0,0,0,1,57.5
45,1586749,5.8,1.7,0.251002328,21.65029,1566,130.208,87.4,0,0,0,0,1,62.200000000000003
46,4343290,1.79,0.1,1.419429779,25.54942,5900,130.5789,19.3,0,1,0,0,0,72.099999999999994
47,80665906,1.37,0.1,9.497246757,27.16509,41199,124.9044,4.4,0,1,0,0,0,80.0
48,23115919,4.19,1.8,0.366600849,22.84247,2907,128.2953,79.9,0,0,0,0,1,62.700000000000003
49,11161755,1.46,0.1,8.661235531,26.33786,32197,122.9342,4.9,0,1,0,0,0,79.5
50,14106687,4.12,0.8,0.83559482,25.29947,6960,120.9596,36.9,0,0,0,0,0,70.799999999999997
51,10427356,5.34,1.4,0.1269644,22.52449,1230,132.2765,121,0,0,0,0,1,58.299999999999997
52,1561293,5.25,2.5,0.156376432,21.64338,1326,130.7627,127.6,0,0,0,0,1,51.299999999999997
53,748096,2.74,1.2,2.073415312,23.68465,5208,125.1512,41.9,0,0,0,0,0,63.0
54,9705130,3.5,2,0.249306755,23.66302,1600,125.3461,83.3,0,0,0,0,0,61.700000000000003
55,7259470,3.27,0.8,1.187453516,25.10872,4391,122.9621,26.5,0,0,0,0,0,70.900000000000006
56,10050699,1.33,0.06,5.453231724,27.11568,23334,128.6968,7.2,0,1,0,0,0,73.799999999999997
57,310033,2.12,0.3,6.821903051,27.20687,42294,118.7381,2.7,0,1,0,0,0,82.0
58,1197070109,2.64,0.32,1.520849421,20.95956,3901,123.1274,65.6,0,0,0,1,0,64.400000000000006
59,235360765,2.48,0.2,1.75504422,21.85576,7856,126.4216,36.2,1,0,0,0,0,69.5
60,72530693,1.88,0.2,7.892210941,25.31003,15955,125.1859,21.4,0,0,1,0,0,76.900000000000006
61,4480145,2,0.2,9.882531034,27.65325,47713,124.7801,4.5,0,1,0,0,0,79.400000000000006
62,7093808,2.92,0.2,10.00118814,27.13151,28562,121.0838,4.9,0,0,1,0,0,80.900000000000006
63,59319234,1.39,0.3,7.465942415,26.4802,37475,123.703,4.1,0,1,0,0,0,81.400000000000006
64,2717344,2.39,1.7,4.391456474,24.00421,8951,125.3685,18.9,0,0,0,0,0,75.5
65,127317900,1.34,0.06,9.536605686,23.50004,34800,121.9651,3.4,1,0,0,0,0,82.599999999999994
66,15915966,2.51,0.1,14.71810426,26.29078,18797,128.8517,25.9,0,1,0,0,0,66.099999999999994
67,38244442,4.76,6.3,0.266308378,21.59258,2358,129.9341,71,0,0,0,0,1,61.5
68,2144215,1.5,0.6,3.341848663,26.45693,20977,129.5746,10.5,0,1,0,0,0,72.299999999999997
69,4109389,1.57,0.1,3.996721795,27.20117,14158,127.5037,11.3,0,0,1,0,0,77.599999999999994
70,1972194,3.34,23.6,0.008617669,21.90157,2041,131.1361,114.2,0,0,0,0,1,45.200000000000003
71,3672782,5.19,1.6,0.157352183,21.89537,588,131.2555,100.9,0,0,0,0,1,61.0
72,3219802,1.42,0.1,4.498483391,26.86102,23223,130.8226,8.2,0,1,0,0,0,72.0
73,485079,1.63,0.3,22.16807969,27.43404,95001,122.3705,2.8,0,1,0,0,0,80.700000000000003
74,19926798,4.79,0.2,0.099422148,21.40347,1528,132.8371,66.7,0,0,0,0,1,63.399999999999999
75,13904671,5.78,11.2,0.082469881,22.03468,674,133.939,101.1,0,0,0,0,1,51.399999999999999
76,27197419,2.05,0.5,7.752233946,24.73069,19968,123.8593,8,1,0,0,0,0,74.5
77,321026,2.38,0.06,3.277725768,23.21991,12029,123.3223,16,0,0,0,1,0,78.200000000000003
78,14223403,6.82,1,0.041078867,21.78881,1602,128.0308,148.3,0,0,0,0,1,55.799999999999997
79,406392,1.38,0.1,6.182771022,27.68361,27872,124.1571,6.6,0,1,0,0,0,81.400000000000006
80,3414552,4.94,0.7,0.613103977,22.62295,3356,129.9875,103,0,0,0,0,1,63.600000000000001
81,1238013,1.58,0.9,3.078762897,25.15669,14615,130.8786,15.8,0,0,0,0,1,72.099999999999994
82,114972821,2.35,0.3,4.261171866,27.42468,15826,122.1216,17.9,0,0,0,0,0,75.700000000000003
83,4111168,1.49,0.4,1.313321187,24.2369,3890,129.9424,17.6,0,1,0,0,0,69.599999999999994
84,2629666,2.37,0.06,3.759486815,24.88385,7563,129.7504,34.8,1,0,0,0,0,63.200000000000003
85,31350544,2.44,0.1,1.594083135,25.63182,6091,126.5284,35.8,0,0,1,0,0,73.299999999999997
86,22994867,5.54,11.4,0.104748301,21.93536,864,135.3949,114.4,0,0,0,0,1,55.0
87,51030006,2.05,0.6,0.1910534,21.44932,2891,123.1421,87.2,1,0,0,0,0,60.799999999999997
88,26325183,2.9,0.4,0.105412983,20.76344,1866,125.5561,50.7,0,0,0,1,0,68.599999999999994
89,16519862,1.77,0.2,10.53302813,26.01541,47388,121.695,4.8,0,1,0,0,0,80.299999999999997
90,4285380,2.12,0.1,8.009084401,27.76893,32122,118.7421,6.4,1,0,0,0,0,80.200000000000003
91,5594524,2.72,0.2,0.778151613,25.77291,4060,123.4792,28.1,0,0,0,0,0,75.200000000000003
92,15085130,7.59,0.8,0.063437109,21.21958,843,135.1021,141.3,0,0,0,0,1,59.700000000000003
93,151115683,6.02,3.6,0.614689662,23.03322,4684,135.492,140.9,0,0,0,0,1,58.0
94,4771633,1.96,0.1,10.52976879,26.93424,65216,126.0266,3.6,0,1,0,0,0,80.700000000000003
95,2652281,2.89,0.1,15.57208046,26.24109,47799,126.887,11.9,0,0,1,0,0,74.599999999999994
96,163096985,3.58,0.1,0.935618056,22.29914,4187,126.5196,95.5,0,0,0,1,0,64.099999999999994
97,3498679,2.61,0.9,2.223796343,26.26959,14033,122.6829,21,0,0,0,0,0,77.099999999999994
98,6540267,4.07,0.9,0.530746337,25.01506,1982,120.0524,69.7,1,0,0,0,0,58.200000000000003
99,6047131,3.06,0.3,0.698581746,25.54223,6684,123.615,25.7,0,0,0,0,0,73.599999999999994
100,28642048,2.58,0.4,1.450134438,24.77041,9249,119.6368,23.2,0,0,0,0,0,76.799999999999997
101,90297115,3.26,0.06,0.842120697,22.87263,5332,122.3459,33.4,1,0,0,0,0,69.400000000000006
102,38525752,1.33,0.1,8.270767149,26.6738,19996,129.6765,6.7,0,1,0,0,0,75.299999999999997
103,10577458,1.36,0.5,5.4869264,26.68445,27747,127.2631,4.1,0,1,0,0,0,79.200000000000003
104,1388962,2.2,0.06,48.70206152,28.13138,126076,126.3153,9.5,0,0,1,0,0,80.400000000000006
105,20741669,1.34,0.1,4.383449075,25.41069,18032,128.7553,16.1,0,1,0,0,0,73.400000000000006
106,143123163,1.49,1,11.98271761,26.01131,22506,128.4903,13.5,0,1,0,0,0,67.599999999999994
107,9750314,5.06,2.9,0.05424447,22.55453,1173,135.1005,78.3,0,0,0,0,1,62.200000000000003
108,12229703,5.11,0.8,0.461633711,21.92743,2162,130.2795,75.8,0,0,0,0,1,64.299999999999997
109,9109535,1.41,0.1,5.271222677,26.51495,12522,130.3755,8,0,1,0,0,0,76.400000000000006
110,5521838,5.13,1.6,0.118255775,22.53139,1289,134.716,179.1,0,0,0,0,1,55.899999999999999
111,4849641,1.28,0.1,4.114440755,23.83996,65991,121.1736,2.8,1,0,0,0,0,80.900000000000006
112,5396710,1.31,0.06,6.901654456,26.92717,24670,129.528,8.8,0,1,0,0,0,74.799999999999997
113,2030599,1.43,0.06,8.511828196,27.43983,30816,129.9231,3.7,0,1,0,0,0,78.5
114,9132589,7.06,0.6,0.068218889,21.96917,615,131.5318,168.5,0,0,0,0,1,56.700000000000003
115,50348811,2.54,17.9,9.427960373,26.85538,12263,130.9949,66.1,0,0,0,0,1,55.0
116,45817016,1.42,0.4,7.293088758,27.49975,34676,122.0453,5,0,1,0,0,0,81.099999999999994
117,19949553,2.32,0.06,0.580791088,21.96671,6907,124.8615,11.7,0,0,0,1,0,74.299999999999997
118,34470138,4.79,1,0.382117945,22.40484,3246,129.7199,84.7,0,0,0,0,1,67.400000000000006
119,506657,2.41,1,4.74113997,25.49887,13470,124.6358,26.4,0,0,0,0,0,69.099999999999994
120,1153750,3.7,25.9,0.949860795,23.16969,5887,131.8793,112.2,0,0,0,0,1,46.100000000000001
121,9226333,1.92,0.1,5.315688399,26.37629,43421,122.9473,3.2,0,1,0,0,0,81.099999999999994
122,7646542,1.47,0.4,5.333057624,26.20195,55020,119.6465,4.7,0,1,0,0,0,81.900000000000006
123,7254072,3.7,0.2,0.45316766,23.77966,2001,129.9657,56.2,0,1,0,0,0,69.5
124,42844744,5.54,5.8,0.154672995,22.47792,2030,130.8328,72.4,0,0,0,0,1,59.700000000000003
125,66453255,1.48,1.3,3.835101888,23.00803,12216,120.4969,15.6,1,0,0,0,0,74.099999999999994
126,6052937,4.88,3.2,0.251983337,21.87875,1219,131.0248,96.4,0,0,0,0,1,60.0
127,1315372,1.8,1.5,31.95771727,26.39669,30875,124.9939,24.9,0,0,0,0,0,71.299999999999997
128,10408091,2.04,0.06,2.440669476,25.15699,9938,128.6291,19.4,0,0,1,0,0,76.5
129,70344357,2.15,0.06,4.021902589,26.70371,16454,124.0675,22.2,0,1,0,0,0,75.099999999999994
130,31014427,6.34,6.4,0.100852839,22.35833,1437,134.5204,89.3,0,0,0,0,1,57.200000000000003
131,46028476,1.38,1.1,7.03235908,25.42379,8762,131.4962,12.9,0,1,0,0,0,68.200000000000003
132,61689620,1.87,0.2,8.526466818,27.39249,37739,124.0845,5.6,0,1,0,0,0,79.5
133,304473143,2.07,0.6,18.5459917,28.45698,50384,118.4777,7.7,0,0,0,0,0,78.200000000000003
134,3350832,2.11,0.5,2.489763547,26.39123,15317,124.2604,13,0,0,0,0,0,76.0
135,26952719,2.46,0.1,4.476669019,25.32054,3733,124.3462,49.2,0,1,0,0,0,68.700000000000003
136,86589342,1.86,0.4,1.479346575,20.9163,4085,121.9367,26.2,1,0,0,0,0,75.400000000000006
137,13114579,5.88,13.6,0.148981514,20.68321,3039,132.4493,94.9,0,0,0,0,1,52.0
138,13495462,3.85,15.1,0.65432319,22.0266,1286,131.9745,98.3,0,0,0,0,1,49.0
