,aid,budget,crime,duty_free_exports,eaa_rsa,education,immigration,infants,missile,party,physician,religious,salvador,satellite,superfund,synfuels,water
73,0,1,1,0,1,0,1,1,1,'republican',1,0,1,1,1,0,0
74,1,1,1,1,1,0,1,1,1,'democrat',0,1,0,1,0,1,0
75,0,1,1,0,0,0,1,0,0,'democrat',1,1,1,0,1,1,1
76,0,1,1,0,?,1,1,0,0,'democrat',0,1,1,0,1,1,1
77,1,1,1,0,1,1,1,0,1,'democrat',1,1,1,0,1,1,1
78,0,1,1,0,1,0,1,1,0,'democrat',0,1,1,0,1,1,1
79,0,0,1,0,0,1,1,0,0,'republican',1,0,1,0,1,0,0
80,1,1,1,0,?,1,1,1,1,'democrat',0,1,0,1,0,0,0
81,1,1,1,0,1,1,1,1,?,'democrat',0,0,0,1,0,1,0
82,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,0
83,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,0
84,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,?
85,0,1,1,0,1,1,1,0,0,'democrat',0,1,1,0,1,1,0
86,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,0
87,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,0
88,0,1,1,0,1,0,1,0,1,'democrat',0,1,1,1,1,1,1
89,0,0,1,0,?,?,1,0,0,'republican',1,1,1,0,1,0,0
90,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
91,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,1,0
92,1,1,?,1,1,0,1,1,0,'democrat',0,0,0,1,0,1,1
93,0,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,1,0
94,0,1,0,0,1,0,0,1,0,'democrat',0,1,1,0,0,0,0
95,?,1,?,1,1,?,0,1,?,'democrat',0,1,1,0,?,1,0
96,0,?,1,0,1,1,0,0,0,'democrat',0,1,1,0,1,1,0
97,0,0,1,0,1,0,1,1,0,'democrat',0,1,1,1,0,1,0
98,1,1,0,0,1,0,1,1,1,'democrat',0,1,0,1,0,0,1
99,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,?,0
100,0,0,1,0,1,1,0,1,0,'democrat',0,1,1,0,0,1,0
101,0,1,1,0,1,0,0,1,0,'democrat',0,1,1,1,0,1,0
102,0,1,1,1,?,0,0,1,?,'democrat',0,1,1,1,1,1,0
103,0,0,1,?,0,0,0,1,?,'democrat',0,1,1,?,0,0,0
104,1,?,1,0,?,0,1,?,1,'democrat',?,1,0,1,1,?,?
105,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,0,0,1,1
106,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
107,?,?,1,?,?,?,?,0,?,'republican',?,?,?,?,?,?,?
108,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,?
109,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,?
110,1,1,0,1,1,0,1,0,1,'democrat',0,0,0,1,0,0,0
111,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,?
112,1,1,0,1,?,0,1,0,0,'democrat',0,1,0,1,0,0,?
113,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,?
114,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,?
115,1,1,0,1,1,?,1,0,1,'democrat',0,?,?,1,0,?,?
116,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,1,0
117,0,1,1,0,1,1,0,1,0,'republican',1,0,1,1,1,0,1
118,1,1,0,1,1,0,1,0,1,'democrat',0,0,0,0,0,1,1
119,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,0
120,0,?,1,?,1,1,1,0,0,'republican',1,1,1,0,1,0,?
121,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,?
122,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,0,0,0
123,1,0,1,0,1,1,0,1,0,'republican',1,1,1,0,1,0,?
124,1,1,0,1,1,0,0,0,1,'democrat',0,0,0,1,0,0,?
125,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,?
126,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,?
127,1,1,1,1,1,0,1,0,1,'democrat',0,0,0,1,0,1,?
128,1,1,0,1,1,0,1,0,0,'democrat',0,1,0,0,0,1,?
129,1,1,?,?,?,?,0,?,?,'democrat',0,0,0,1,?,?,?
130,1,1,0,1,?,0,0,1,1,'democrat',0,?,?,1,0,0,?
131,1,1,1,0,1,0,1,0,1,'democrat',0,1,0,0,0,0,0
132,0,0,1,0,?,1,1,0,0,'republican',1,1,1,0,1,0,0
133,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,0
134,0,0,1,0,?,1,0,0,0,'republican',1,1,1,0,1,0,0
135,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,0
136,0,0,0,0,1,1,1,0,0,'republican',1,1,1,0,1,1,1
137,1,1,1,1,1,0,1,0,1,'democrat',0,1,0,1,0,0,?
138,1,1,1,0,1,0,1,0,1,'democrat',0,1,0,1,0,0,0
139,1,1,0,1,1,0,0,1,1,'democrat',0,1,0,1,0,0,0
140,1,0,1,0,1,0,1,0,1,'republican',1,0,0,1,1,0,0
141,1,0,1,?,1,1,1,0,1,'republican',1,1,1,1,1,0,0
142,1,0,1,0,1,1,1,0,1,'republican',1,1,1,1,1,0,0
143,1,0,1,1,1,0,1,?,1,'democrat',0,0,0,1,0,1,1
144,1,0,1,0,?,0,1,0,1,'democrat',0,1,0,1,0,0,?
145,1,1,1,?,1,0,1,0,1,'democrat',0,1,0,1,0,0,0
146,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
147,1,0,1,1,1,1,1,0,1,'democrat',0,0,0,1,1,0,0
148,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,1,1
149,1,1,0,1,1,0,1,0,1,'democrat',0,0,0,1,1,0,0
150,0,0,1,0,1,1,1,1,0,'republican',1,1,1,0,1,0,1
151,0,?,1,0,0,?,0,1,1,'democrat',1,1,1,0,1,1,1
152,1,1,0,1,1,0,1,0,1,'democrat',0,1,0,0,1,1,1
153,1,1,1,0,1,0,1,0,1,'democrat',0,1,0,1,1,1,0
154,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,1
155,?,0,1,0,0,1,0,1,0,'republican',1,1,1,0,1,1,1
156,0,0,1,0,0,1,0,1,0,'republican',1,1,1,1,1,0,1
157,1,1,?,?,?,0,0,0,1,'democrat',0,1,0,0,?,1,1
158,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,1
159,1,1,?,0,?,0,1,0,1,'democrat',0,1,?,1,0,1,1
160,0,0,1,1,1,1,0,0,0,'democrat',0,1,1,0,1,0,1
161,0,0,1,0,1,1,0,0,0,'democrat',0,1,1,1,1,0,0
162,0,1,1,0,1,1,0,0,0,'democrat',0,1,1,1,1,1,1
163,0,0,1,0,1,1,0,0,0,'republican',1,1,1,1,1,0,1
164,0,0,1,0,?,1,1,1,0,'democrat',0,1,1,0,1,1,1
165,1,1,0,1,?,0,1,0,1,'democrat',0,1,0,1,1,1,1
166,1,1,1,1,1,1,1,1,0,'republican',1,1,1,1,0,0,0
167,1,1,1,1,1,1,1,1,0,'republican',1,1,1,1,0,1,0
168,0,1,1,1,?,0,0,0,1,'democrat',1,1,1,0,1,0,0
169,1,1,1,0,1,0,1,1,1,'democrat',0,0,0,1,0,1,0
170,1,1,0,1,?,0,?,1,1,'democrat',0,0,0,?,0,0,0
171,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,?
172,1,1,0,1,1,0,1,0,1,'democrat',0,0,0,1,?,0,1
173,0,0,1,0,1,1,1,0,0,'democrat',0,1,1,0,1,1,0
174,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,?
175,1,1,0,1,1,0,1,0,1,'democrat',0,0,0,1,0,0,1
176,1,1,1,1,1,0,1,0,1,'republican',1,0,0,1,0,0,0
177,1,1,0,1,1,?,1,0,1,'democrat',0,0,0,1,0,1,0
178,1,1,0,1,?,?,1,?,1,'democrat',0,0,0,1,0,1,0
179,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
180,1,1,0,?,?,0,?,?,1,'democrat',0,0,0,1,0,?,?
181,1,1,0,1,1,0,1,0,1,'democrat',0,0,0,1,0,1,0
182,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,0,?
183,?,?,?,?,?,?,?,?,1,'democrat',?,?,?,?,?,?,?
184,1,1,0,1,1,0,1,0,1,'democrat',0,0,0,1,0,1,0
185,1,1,0,1,1,?,1,1,1,'democrat',0,0,0,1,0,0,0
186,1,1,0,1,1,0,1,0,1,'democrat',0,0,0,1,0,1,1
187,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,0
188,1,0,1,?,?,1,0,1,0,'republican',1,1,1,1,?,0,?
189,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,0,0
190,0,0,1,0,?,1,0,0,0,'republican',1,1,1,0,1,0,?
191,?,0,1,0,?,1,1,0,0,'republican',1,1,1,0,1,0,1
192,1,0,1,1,1,0,0,0,1,'democrat',0,1,0,1,0,1,0
193,1,1,0,1,1,0,0,0,1,'democrat',0,0,0,1,0,0,0
194,?,1,0,1,1,0,1,0,1,'democrat',0,1,0,1,0,1,0
195,0,0,1,0,?,1,0,0,0,'republican',1,1,1,0,1,0,0
196,1,1,1,1,?,1,0,0,1,'democrat',0,1,0,1,0,1,0
197,0,1,1,0,1,0,1,0,0,'republican',1,1,1,0,0,0,?
198,1,1,0,1,?,0,1,0,1,'democrat',0,0,0,1,?,1,0
199,1,0,0,1,?,0,0,1,?,'democrat',0,0,0,1,0,1,1
200,1,1,1,1,1,0,0,0,1,'democrat',0,0,0,1,0,0,0
201,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,0,1
202,1,1,0,1,1,0,1,1,1,'democrat',0,1,0,1,0,1,0
203,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
204,0,1,1,0,1,1,0,0,0,'republican',1,1,1,1,1,0,0
205,1,1,0,0,1,1,1,0,1,'democrat',0,1,0,1,0,0,0
206,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,0,0,0
207,0,0,1,0,1,1,1,1,0,'republican',1,1,1,1,1,0,?
208,1,1,0,1,1,?,0,0,1,'democrat',0,0,0,1,0,0,0
209,1,1,0,0,1,0,1,1,1,'democrat',0,0,0,1,0,1,1
210,1,1,0,1,1,0,0,0,1,'democrat',0,1,0,1,0,0,0
211,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,1
212,1,1,0,1,1,0,0,0,1,'democrat',0,0,0,1,0,1,0
213,1,1,0,1,1,0,0,0,1,'democrat',0,1,0,0,1,1,1
214,0,0,1,0,1,1,1,1,0,'republican',1,1,1,0,1,0,1
215,0,1,1,1,?,1,1,0,0,'democrat',1,1,1,0,1,1,1
216,0,1,1,1,?,0,1,1,?,'democrat',0,1,1,0,0,0,1
217,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,1
218,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,?,?
219,1,1,1,1,1,0,0,0,1,'democrat',0,0,0,0,0,1,1
220,1,1,0,1,?,0,0,0,1,'democrat',0,0,0,1,0,0,0
221,0,1,0,1,?,0,0,0,0,'democrat',0,1,1,0,0,1,1
222,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,1,0
223,0,0,1,0,1,1,0,0,0,'republican',1,0,1,0,1,0,0
224,0,0,1,0,0,?,1,0,0,'republican',1,1,1,0,1,0,1
225,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,?
226,1,1,1,1,1,0,0,0,1,'democrat',0,1,0,1,0,1,0
227,1,1,0,?,1,0,0,1,1,'democrat',0,0,0,1,0,0,0
228,0,0,?,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
229,0,1,1,0,1,1,1,0,1,'republican',1,1,1,1,1,0,1
230,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
231,0,0,1,0,1,1,1,0,1,'republican',1,1,1,0,1,0,1
232,1,1,0,1,?,0,0,0,0,'democrat',0,0,0,1,0,1,1
233,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,1
234,1,1,1,1,?,1,1,0,1,'democrat',0,1,0,1,0,0,0
235,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,0,0,0
236,1,1,0,1,1,0,0,0,1,'democrat',0,0,0,1,0,0,0
237,1,1,0,0,1,1,0,1,0,'democrat',0,1,0,1,1,0,0
238,1,1,0,1,?,0,1,1,?,'democrat',0,0,0,1,0,0,1
239,0,0,1,1,1,0,1,0,0,'republican',1,1,1,1,0,0,0
240,?,0,1,0,1,1,0,0,1,'republican',1,1,0,1,1,0,0
241,1,1,1,1,1,0,1,1,1,'democrat',0,0,0,1,0,1,0
242,0,0,1,1,1,?,0,0,0,'republican',0,1,1,1,0,0,0
243,1,1,0,1,1,0,1,0,?,'democrat',0,0,0,1,1,0,1
244,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,0,0,0,0
245,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,1,0
246,1,1,1,?,1,0,0,0,1,'democrat',0,0,1,1,0,0,0
247,0,0,1,0,0,?,0,0,0,'republican',1,1,1,?,1,0,1
248,?,?,?,?,?,?,?,?,?,'republican',?,?,?,?,?,?,?
249,1,1,0,1,1,0,0,1,?,'democrat',0,0,0,1,0,1,0
250,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,1
251,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,1
252,1,1,0,1,1,0,0,1,1,'democrat',0,1,0,1,0,0,1
253,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
254,1,1,0,0,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
255,1,1,1,1,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
256,0,0,1,0,0,1,0,0,0,'republican',1,0,1,0,0,0,0
257,0,0,1,?,1,1,0,0,0,'republican',1,0,1,0,0,0,0
258,1,1,0,1,1,0,0,0,1,'democrat',0,0,0,1,0,1,0
259,1,1,0,0,1,0,0,1,1,'democrat',0,0,0,1,0,0,0
260,1,1,0,0,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
261,1,1,?,?,?,?,0,1,1,'democrat',0,?,0,1,0,?,0
262,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,?,0,0
263,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,0
264,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,0
265,1,1,0,0,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
266,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,0,0,0
267,1,0,1,0,1,0,1,1,1,'republican',0,0,0,1,0,0,0
268,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,0
269,1,1,0,0,1,0,0,1,1,'democrat',0,0,0,1,0,0,0
270,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,0,1
271,1,1,0,0,1,0,0,0,1,'democrat',0,1,0,1,0,?,1
272,1,1,0,1,?,0,1,1,1,'democrat',0,0,0,1,0,0,0
273,1,0,1,?,1,1,1,0,0,'republican',1,0,1,1,1,0,0
274,0,0,1,1,1,0,1,1,0,'republican',1,0,1,1,0,0,0
275,0,1,1,0,0,0,0,0,0,'democrat',0,1,1,0,1,?,0
276,0,0,1,1,0,1,0,0,0,'republican',1,1,1,0,1,0,0
277,1,1,1,0,1,0,1,0,0,'republican',1,1,1,1,0,0,0
278,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,0
279,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,0
280,1,1,1,0,1,0,1,0,1,'democrat',0,0,0,1,0,0,0
281,1,1,1,0,?,0,0,1,0,'republican',1,1,1,1,0,0,0
282,0,0,1,0,0,?,1,1,0,'republican',1,1,1,0,1,0,0
283,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,0
284,1,1,0,?,1,0,1,0,1,'democrat',0,1,0,1,0,1,0
285,1,1,0,1,1,0,1,0,1,'democrat',0,1,0,1,0,1,0
286,1,1,1,1,?,1,1,0,?,'democrat',0,1,0,?,0,1,0
287,1,1,0,?,1,0,0,1,1,'democrat',?,1,0,1,1,1,1
288,1,1,1,1,1,0,1,1,0,'democrat',0,1,1,0,1,1,1
289,1,1,1,0,?,0,1,1,0,'democrat',0,1,1,0,1,1,1
290,1,1,1,0,1,0,1,1,1,'democrat',0,1,?,?,1,0,0
291,1,1,1,0,1,?,1,1,1,'democrat',0,1,0,1,0,0,0
292,1,1,1,1,1,0,1,1,0,'democrat',0,1,0,1,1,1,0
293,1,1,1,1,1,0,1,1,1,'democrat',0,1,0,1,1,1,1
294,1,1,1,0,?,0,1,0,0,'democrat',0,1,0,1,1,1,1
295,?,0,?,?,?,1,1,0,0,'republican',1,1,1,?,?,0,1
296,0,1,1,1,1,1,1,0,0,'republican',1,1,1,0,1,0,0
297,1,1,0,1,?,0,1,1,1,'democrat',0,1,0,1,?,0,1
298,1,0,0,1,1,0,1,0,1,'democrat',0,0,0,1,0,1,1
299,1,1,1,1,1,0,1,0,1,'democrat',0,1,0,1,1,0,1
300,1,0,1,0,1,1,1,0,1,'republican',1,0,1,1,1,0,0
301,1,?,0,1,1,0,0,0,1,'democrat',0,1,0,1,0,0,0
302,0,0,1,0,1,1,1,0,0,'republican',1,1,1,1,1,0,0
303,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,0
304,0,0,1,0,?,1,1,0,0,'republican',1,1,1,0,1,0,1
305,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,0
306,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,0
307,1,1,1,0,?,0,0,1,1,'democrat',0,1,0,1,0,0,0
308,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,0
309,1,0,1,1,1,0,1,1,1,'democrat',0,1,0,1,0,0,0
310,0,0,1,1,0,1,1,0,0,'republican',1,1,1,0,1,0,0
311,1,1,0,0,1,0,1,0,1,'democrat',0,1,0,1,1,0,0
312,1,1,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,0,1
313,0,1,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,1
314,1,0,1,1,1,1,0,0,0,'republican',1,1,1,1,1,1,1
315,?,1,?,1,?,0,0,0,0,'republican',1,1,1,1,?,0,1
316,1,0,1,1,0,1,0,0,1,'democrat',0,1,0,0,1,1,0
317,1,0,0,1,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
318,1,1,0,1,?,0,0,0,1,'democrat',0,0,0,1,0,0,0
319,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,0
320,1,1,1,0,1,0,1,0,1,'democrat',0,1,0,0,1,0,1
321,1,1,0,0,1,0,1,1,1,'democrat',0,0,0,1,1,0,1
322,?,1,1,0,?,0,0,1,0,'democrat',0,1,?,0,1,1,1
323,1,1,1,0,?,0,1,1,?,'democrat',0,1,1,0,1,0,1
324,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,1,1
325,0,0,1,0,1,1,0,0,?,'democrat',0,1,1,0,1,0,1
326,1,0,1,0,1,0,0,1,1,'democrat',1,0,0,1,0,1,1
327,0,0,1,0,1,1,0,0,0,'republican',1,1,1,0,1,0,1
328,1,1,0,0,1,0,0,1,1,'democrat',0,0,0,1,0,1,1
329,1,1,0,1,?,0,1,1,1,'democrat',0,1,0,1,0,0,?
330,0,0,1,0,0,1,1,0,0,'republican',1,1,1,0,1,0,1
331,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,0,?
332,1,1,0,1,?,0,0,1,1,'democrat',0,0,0,1,0,1,0
333,1,1,0,1,1,0,0,0,1,'democrat',0,0,0,1,0,0,0
334,1,1,0,1,1,1,0,0,?,'democrat',0,1,0,1,0,1,1
335,0,0,1,0,?,1,1,0,0,'republican',1,1,1,0,1,1,0
336,1,1,1,?,1,0,0,0,0,'democrat',0,1,0,1,0,1,0
337,1,1,0,1,1,0,0,1,1,'democrat',0,0,0,1,0,0,0
338,1,1,1,1,1,0,1,1,1,'democrat',0,0,0,1,0,0,0
339,0,0,1,0,0,1,0,1,0,'republican',1,1,1,0,1,1,0
340,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,0,1,0
341,1,1,?,1,1,0,1,0,1,'democrat',?,1,0,1,?,1,?
342,0,1,0,1,1,0,1,0,0,'democrat',0,?,1,1,1,1,1
343,0,0,1,0,1,0,1,0,1,'republican',1,0,1,1,0,0,0
344,1,1,0,1,1,0,1,0,1,'democrat',0,0,0,1,0,1,0
345,0,0,1,1,1,1,1,0,0,'republican',1,1,1,1,0,0,0
346,0,0,1,0,1,1,1,0,0,'republican',1,1,1,0,1,0,0
347,0,0,1,0,0,1,1,1,0,'republican',1,1,1,0,1,0,0
348,1,1,0,1,?,1,1,1,1,'democrat',0,0,0,1,0,0,0
349,1,1,1,0,1,1,0,0,1,'republican',1,1,1,1,1,0,1
350,0,0,0,1,1,0,0,0,1,'democrat',0,1,0,1,0,1,1
351,1,1,1,1,1,1,1,0,1,'republican',1,1,1,1,1,0,0
352,1,0,0,1,?,0,0,0,1,'democrat',1,1,0,1,1,1,1
353,0,1,1,0,1,1,1,0,0,'republican',1,1,1,1,1,1,0
354,1,1,0,1,1,?,1,0,1,'democrat',0,1,0,1,0,0,1
355,1,1,1,1,1,0,1,1,1,'republican',1,0,0,0,0,0,0
356,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,0
357,0,0,1,0,0,1,0,0,0,'republican',1,1,1,0,1,0,0
358,1,1,1,0,?,1,1,1,1,'democrat',0,1,0,1,1,1,1
