,aid,budget,crime,duty_free_exports,eaa_rsa,education,immigration,infants,missile,physician,religious,salvador,satellite,superfund,synfuels,water,party
57,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
58,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
59,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
60,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,"'democrat',"
61,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
62,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
63,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
64,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
65,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,"'republican',"
66,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,"'republican',"
67,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
68,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,"'democrat',"
69,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
70,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,0,"'democrat',"
71,1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,"'republican',"
72,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
73,0,1,1,0,1,0,1,1,1,1,0,1,1,1,0,0,"'republican',"
74,1,1,1,1,1,0,1,1,1,0,1,0,1,0,1,0,"'democrat',"
75,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,"'democrat',"
76,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,"'democrat',"
77,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,"'democrat',"
78,0,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,"'democrat',"
79,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,"'republican',"
80,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,"'democrat',"
81,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,0,"'democrat',"
82,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
83,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
84,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
85,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,"'democrat',"
86,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
87,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
88,0,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,"'democrat',"
89,0,0,1,0,1,0,1,0,0,1,1,1,0,1,0,0,"'republican',"
90,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
91,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,"'democrat',"
92,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,"'democrat',"
93,0,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,"'democrat',"
94,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,"'democrat',"
95,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,0,"'democrat',"
96,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0,"'democrat',"
97,0,0,1,0,1,0,1,1,0,0,1,1,1,0,1,0,"'democrat',"
98,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1,"'democrat',"
99,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
100,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,"'democrat',"
101,0,1,1,0,1,0,0,1,0,0,1,1,1,0,1,0,"'democrat',"
102,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,"'democrat',"
103,0,0,1,0,0,0,0,1,1,0,1,1,1,0,0,0,"'democrat',"
104,1,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,"'democrat',"
105,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,1,"'democrat',"
106,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
107,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,"'republican',"
108,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
109,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
110,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,0,"'democrat',"
111,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
112,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,"'democrat',"
113,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
114,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
115,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,"'democrat',"
116,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,"'democrat',"
117,0,1,1,0,1,1,0,1,0,1,0,1,1,1,0,1,"'republican',"
118,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,"'democrat',"
119,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
120,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
121,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
122,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,"'republican',"
123,1,0,1,0,1,1,0,1,0,1,1,1,0,1,0,1,"'republican',"
124,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,"'democrat',"
125,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
126,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
127,1,1,1,1,1,0,1,0,1,0,0,0,1,0,1,1,"'democrat',"
128,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,1,"'democrat',"
129,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,"'democrat',"
130,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,1,"'democrat',"
131,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,"'democrat',"
132,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
133,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
134,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
135,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
136,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,1,"'republican',"
137,1,1,1,1,1,0,1,0,1,0,1,0,1,0,0,1,"'democrat',"
138,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,"'democrat',"
139,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,0,"'democrat',"
140,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,"'republican',"
141,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,"'republican',"
142,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,"'republican',"
143,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,"'democrat',"
144,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,"'democrat',"
145,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,"'democrat',"
146,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
147,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,0,"'democrat',"
148,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,1,"'republican',"
149,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,"'democrat',"
150,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,"'republican',"
151,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,"'democrat',"
152,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,"'democrat',"
153,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,"'democrat',"
154,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
155,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1,"'republican',"
156,0,0,1,0,0,1,0,1,0,1,1,1,1,1,0,1,"'republican',"
157,1,1,1,0,1,0,0,0,1,0,1,0,0,1,1,1,"'democrat',"
158,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
159,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,"'democrat',"
160,0,0,1,1,1,1,0,0,0,0,1,1,0,1,0,1,"'democrat',"
161,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,"'democrat',"
162,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,"'democrat',"
163,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,"'republican',"
164,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,1,"'democrat',"
165,1,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,"'democrat',"
166,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,"'republican',"
167,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,"'republican',"
168,0,1,1,1,1,0,0,0,1,1,1,1,0,1,0,0,"'democrat',"
169,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,"'democrat',"
170,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
171,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
172,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,"'democrat',"
173,0,0,1,0,1,1,1,0,0,0,1,1,0,1,1,0,"'democrat',"
174,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
175,1,1,0,1,1,0,1,0,1,0,0,0,1,0,0,1,"'democrat',"
176,1,1,1,1,1,0,1,0,1,1,0,0,1,0,0,0,"'republican',"
177,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,"'democrat',"
178,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,"'democrat',"
179,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
180,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,"'democrat',"
181,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,"'democrat',"
182,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
183,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,"'democrat',"
184,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,0,"'democrat',"
185,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
186,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1,1,"'democrat',"
187,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
188,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,1,"'republican',"
189,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
190,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
191,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
192,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,0,"'democrat',"
193,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"'democrat',"
194,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,"'democrat',"
195,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
196,1,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,"'democrat',"
197,0,1,1,0,1,0,1,0,0,1,1,1,0,0,0,1,"'republican',"
198,1,1,0,1,1,0,1,0,1,0,0,0,1,1,1,0,"'democrat',"
199,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
200,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,"'democrat',"
201,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
202,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1,0,"'democrat',"
203,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
204,0,1,1,0,1,1,0,0,0,1,1,1,1,1,0,0,"'republican',"
205,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,"'democrat',"
206,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,"'republican',"
207,0,0,1,0,1,1,1,1,0,1,1,1,1,1,0,1,"'republican',"
208,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"'democrat',"
209,1,1,0,0,1,0,1,1,1,0,0,0,1,0,1,1,"'democrat',"
210,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,"'democrat',"
211,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
212,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,"'democrat',"
213,1,1,0,1,1,0,0,0,1,0,1,0,0,1,1,1,"'democrat',"
214,0,0,1,0,1,1,1,1,0,1,1,1,0,1,0,1,"'republican',"
215,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,"'democrat',"
216,0,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,"'democrat',"
217,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
218,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
219,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,"'democrat',"
220,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"'democrat',"
221,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,"'democrat',"
222,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,"'democrat',"
223,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,"'republican',"
224,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,"'republican',"
225,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
226,1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,"'democrat',"
227,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
228,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
229,0,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,"'republican',"
230,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
231,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,"'republican',"
232,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,"'democrat',"
233,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
234,1,1,1,1,1,1,1,0,1,0,1,0,1,0,0,0,"'democrat',"
235,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,"'republican',"
236,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"'democrat',"
237,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,"'democrat',"
238,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,"'democrat',"
239,0,0,1,1,1,0,1,0,0,1,1,1,1,0,0,0,"'republican',"
240,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,"'republican',"
241,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,0,"'democrat',"
242,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,"'republican',"
243,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,"'democrat',"
244,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,"'democrat',"
245,1,1,0,1,1,0,1,1,1,0,0,0,1,0,1,0,"'democrat',"
246,1,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,"'democrat',"
247,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,"'republican',"
248,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,"'republican',"
249,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,"'democrat',"
250,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
251,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
252,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,"'democrat',"
253,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
254,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
255,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
256,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,"'republican',"
257,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,"'republican',"
258,1,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,"'democrat',"
259,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
260,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
261,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,"'democrat',"
262,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,"'democrat',"
263,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
264,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
265,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
266,0,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,"'republican',"
267,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,"'republican',"
268,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
269,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
270,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
271,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,"'democrat',"
272,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
273,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,0,"'republican',"
274,0,0,1,1,1,0,1,1,0,1,0,1,1,0,0,0,"'republican',"
275,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,"'democrat',"
276,0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
277,1,1,1,0,1,0,1,0,0,1,1,1,1,0,0,0,"'republican',"
278,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
279,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
280,1,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,"'democrat',"
281,1,1,1,0,1,0,0,1,0,1,1,1,1,0,0,0,"'republican',"
282,0,0,1,0,0,0,1,1,0,1,1,1,0,1,0,0,"'republican',"
283,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
284,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,"'democrat',"
285,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,"'democrat',"
286,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,"'democrat',"
287,1,1,0,0,1,0,0,1,1,0,1,0,1,1,1,1,"'democrat',"
288,1,1,1,1,1,0,1,1,0,0,1,1,0,1,1,1,"'democrat',"
289,1,1,1,0,1,0,1,1,0,0,1,1,0,1,1,1,"'democrat',"
290,1,1,1,0,1,0,1,1,1,0,1,1,1,1,0,0,"'democrat',"
291,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,"'democrat',"
292,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,0,"'democrat',"
293,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,"'democrat',"
294,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,"'democrat',"
295,1,0,1,0,1,1,1,0,0,1,1,1,1,1,0,1,"'republican',"
296,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
297,1,1,0,1,1,0,1,1,1,0,1,0,1,1,0,1,"'democrat',"
298,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,1,"'democrat',"
299,1,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,"'democrat',"
300,1,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,"'republican',"
301,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,"'democrat',"
302,0,0,1,0,1,1,1,0,0,1,1,1,1,1,0,0,"'republican',"
303,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
304,0,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
305,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
306,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,"'republican',"
307,1,1,1,0,1,0,0,1,1,0,1,0,1,0,0,0,"'democrat',"
308,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
309,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,"'democrat',"
310,0,0,1,1,0,1,1,0,0,1,1,1,0,1,0,0,"'republican',"
311,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,"'democrat',"
312,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,1,"'democrat',"
313,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
314,1,0,1,1,1,1,0,0,0,1,1,1,1,1,1,1,"'republican',"
315,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,"'republican',"
316,1,0,1,1,0,1,0,0,1,0,1,0,0,1,1,0,"'democrat',"
317,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,0,"'democrat',"
318,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,"'democrat',"
319,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,"'democrat',"
320,1,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,"'democrat',"
321,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,"'democrat',"
322,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,1,"'democrat',"
323,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,"'democrat',"
324,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,"'republican',"
325,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,1,"'democrat',"
326,1,0,1,0,1,0,0,1,1,1,0,0,1,0,1,1,"'democrat',"
327,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,1,"'republican',"
328,1,1,0,0,1,0,0,1,1,0,0,0,1,0,1,1,"'democrat',"
329,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,1,"'democrat',"
330,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,1,"'republican',"
331,1,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1,"'democrat',"
332,1,1,0,1,1,0,0,1,1,0,0,0,1,0,1,0,"'democrat',"
