,day,sex,size,smoker,time,tip,total_bill,total_dollar
147,Thur,Female,2,No,Lunch,1.63,11.87,$11.87
148,Thur,Male,2,No,Lunch,1.73,9.78,$9.78
149,Thur,Male,2,No,Lunch,2.0,7.51,$7.51
150,Sun,Male,2,No,Dinner,2.5,14.07,$14.07
151,Sun,Male,2,No,Dinner,2.0,13.13,$13.13
152,Sun,Male,3,No,Dinner,2.74,17.26,$17.26
153,Sun,Male,4,No,Dinner,2.0,24.55,$24.55
154,Sun,Male,4,No,Dinner,2.0,19.77,$19.77
155,Sun,Female,5,No,Dinner,5.14,29.85,$29.85
156,Sun,Male,6,No,Dinner,5.0,48.17,$48.17
157,Sun,Female,4,No,Dinner,3.75,25.0,$25.0
158,Sun,Female,2,No,Dinner,2.61,13.39,$13.39
159,Sun,Male,4,No,Dinner,2.0,16.49,$16.49
160,Sun,Male,4,No,Dinner,3.5,21.5,$21.5
161,Sun,Male,2,No,Dinner,2.5,12.66,$12.66
162,Sun,Female,3,No,Dinner,2.0,16.21,$16.21
163,Sun,Male,2,No,Dinner,2.0,13.81,$13.81
164,Sun,Female,2,Yes,Dinner,3.0,17.51,$17.51
165,Sun,Male,3,No,Dinner,3.48,24.52,$24.52
166,Sun,Male,2,No,Dinner,2.24,20.76,$20.76
167,Sun,Male,4,No,Dinner,4.5,31.71,$31.71
168,Sat,Female,2,Yes,Dinner,1.61,10.59,$10.59
169,Sat,Female,2,Yes,Dinner,2.0,10.63,$10.63
170,Sat,Male,3,Yes,Dinner,10.0,50.81,$50.81
171,Sat,Male,2,Yes,Dinner,3.16,15.81,$15.81
172,Sun,Male,2,Yes,Dinner,5.15,7.25,$7.25
173,Sun,Male,2,Yes,Dinner,3.18,31.85,$31.85
174,Sun,Male,2,Yes,Dinner,4.0,16.82,$16.82
175,Sun,Male,2,Yes,Dinner,3.11,32.9,$32.9
176,Sun,Male,2,Yes,Dinner,2.0,17.89,$17.89
177,Sun,Male,2,Yes,Dinner,2.0,14.48,$14.48
178,Sun,Female,2,Yes,Dinner,4.0,9.6,$9.6
179,Sun,Male,2,Yes,Dinner,3.55,34.63,$34.63
180,Sun,Male,4,Yes,Dinner,3.68,34.65,$34.65
181,Sun,Male,2,Yes,Dinner,5.65,23.33,$23.33
182,Sun,Male,3,Yes,Dinner,3.5,45.35,$45.35
183,Sun,Male,4,Yes,Dinner,6.5,23.17,$23.17
184,Sun,Male,2,Yes,Dinner,3.0,40.55,$40.55
185,Sun,Male,5,No,Dinner,5.0,20.69,$20.69
186,Sun,Female,3,Yes,Dinner,3.5,20.9,$20.9
187,Sun,Male,5,Yes,Dinner,2.0,30.46,$30.46
188,Sun,Female,3,Yes,Dinner,3.5,18.15,$18.15
189,Sun,Male,3,Yes,Dinner,4.0,23.1,$23.1
190,Sun,Male,2,Yes,Dinner,1.5,15.69,$15.69
191,Thur,Female,2,Yes,Lunch,4.19,19.81,$19.81
192,Thur,Male,2,Yes,Lunch,2.56,28.44,$28.44
193,Thur,Male,2,Yes,Lunch,2.02,15.48,$15.48
194,Thur,Male,2,Yes,Lunch,4.0,16.58,$16.58
195,Thur,Male,2,No,Lunch,1.44,7.56,$7.56
196,Thur,Male,2,Yes,Lunch,2.0,10.34,$10.34
197,Thur,Female,4,Yes,Lunch,5.0,43.11,$43.11
198,Thur,Female,2,Yes,Lunch,2.0,13.0,$13.0
199,Thur,Male,2,Yes,Lunch,2.0,13.51,$13.51
200,Thur,Male,3,Yes,Lunch,4.0,18.71,$18.71
201,Thur,Female,2,Yes,Lunch,2.01,12.74,$12.74
202,Thur,Female,2,Yes,Lunch,2.0,13.0,$13.0
203,Thur,Female,2,Yes,Lunch,2.5,16.4,$16.4
204,Thur,Male,4,Yes,Lunch,4.0,20.53,$20.53
205,Thur,Female,3,Yes,Lunch,3.23,16.47,$16.47
206,Sat,Male,3,Yes,Dinner,3.41,26.59,$26.59
207,Sat,Male,4,Yes,Dinner,3.0,38.73,$38.73
208,Sat,Male,2,Yes,Dinner,2.03,24.27,$24.27
209,Sat,Female,2,Yes,Dinner,2.23,12.76,$12.76
210,Sat,Male,3,Yes,Dinner,2.0,30.06,$30.06
211,Sat,Male,4,Yes,Dinner,5.16,25.89,$25.89
212,Sat,Male,4,No,Dinner,9.0,48.33,$48.33
213,Sat,Female,2,Yes,Dinner,2.5,13.27,$13.27
214,Sat,Female,3,Yes,Dinner,6.5,28.17,$28.17
215,Sat,Female,2,Yes,Dinner,1.1,12.9,$12.9
216,Sat,Male,5,Yes,Dinner,3.0,28.15,$28.15
217,Sat,Male,2,Yes,Dinner,1.5,11.59,$11.59
218,Sat,Male,2,Yes,Dinner,1.44,7.74,$7.74
219,Sat,Female,4,Yes,Dinner,3.09,30.14,$30.14
220,Fri,Male,2,Yes,Lunch,2.2,12.16,$12.16
221,Fri,Female,2,Yes,Lunch,3.48,13.42,$13.42
222,Fri,Male,1,Yes,Lunch,1.92,8.58,$8.58
223,Fri,Female,3,No,Lunch,3.0,15.98,$15.98
224,Fri,Male,2,Yes,Lunch,1.58,13.42,$13.42
225,Fri,Female,2,Yes,Lunch,2.5,16.27,$16.27
226,Fri,Female,2,Yes,Lunch,2.0,10.09,$10.09
227,Sat,Male,4,No,Dinner,3.0,20.45,$20.45
228,Sat,Male,2,No,Dinner,2.72,13.28,$13.28
229,Sat,Female,2,Yes,Dinner,2.88,22.12,$22.12
230,Sat,Male,4,Yes,Dinner,2.0,24.01,$24.01
231,Sat,Male,3,Yes,Dinner,3.0,15.69,$15.69
232,Sat,Male,2,No,Dinner,3.39,11.61,$11.61
233,Sat,Male,2,No,Dinner,1.47,10.77,$10.77
234,Sat,Male,2,Yes,Dinner,3.0,15.53,$15.53
235,Sat,Male,2,No,Dinner,1.25,10.07,$10.07
236,Sat,Male,2,Yes,Dinner,1.0,12.6,$12.6
237,Sat,Male,2,Yes,Dinner,1.17,32.83,$32.83
238,Sat,Female,3,No,Dinner,4.67,35.83,$35.83
239,Sat,Male,3,No,Dinner,5.92,29.03,$29.03
240,Sat,Female,2,Yes,Dinner,2.0,27.18,$27.18
241,Sat,Male,2,Yes,Dinner,2.0,22.67,$22.67
242,Sat,Male,2,No,Dinner,1.75,17.82,$17.82
243,Thur,Female,2,No,Dinner,3.0,18.78,$18.78
