,artist,date.entered,rank,time,track,week,year
58,'Clark Family Experience','2000-11-18',87.0,'2:56','Meanwhile Back At Th...','wk1',2000
59,"'Clark, Terri'",'2000-12-16',75.0,'3:07','A Little Gasoline','wk1',2000
60,'Common','2000-08-05',75.0,'3:55','The Light','wk1',2000
61,'Counting Crows','1999-11-06',84.0,'4:07','Hanginaround','wk1',2000
62,'Creed','1999-09-11',81.0,'5:16','Higher','wk1',2000
63,'Creed','2000-05-13',84.0,'3:52','With Arms Wide Open','wk1',2000
64,"'Cyrus, Billy Ray'",'2000-09-23',97.0,'3:45',"""You Won't Be Lonely ...""",'wk1',2000
65,'Da Brat','2000-02-26',93.0,'3:44',"""That's What I'm Look...""",'wk1',2000
66,'Da Brat','2000-06-03',71.0,'3:57',"""What'Chu Like""",'wk1',2000
67,"""D'Angelo""",'1999-12-11',93.0,'4:35','Left & Right','wk1',2000
68,"""D'Angelo""",'2000-01-22',77.0,'7:10','Untitled','wk1',2000
69,"'Davidson, Clay'",'2000-03-25',97.0,'3:56','Unconditional','wk1',2000
70,'De La Soul','2000-12-23',96.0,'5:02','All Good?','wk1',2000
71,"""Destiny's Child""",'2000-09-23',78.0,'3:38','Independent Women Pa...','wk1',2000
72,"""Destiny's Child""",'2000-05-13',74.0,'3:48',"""Jumpin' Jumpin'""",'wk1',2000
73,"""Destiny's Child""",'1999-12-25',83.0,'4:31','Say My Name','wk1',2000
74,"'Diffie, Joe'",'2000-08-12',81.0,'2:55',"""It's Always Somethin...""",'wk1',2000
75,"'Diffie, Joe'",'2000-01-01',98.0,'3:23',"""The Quittin' Kind""",'wk1',2000
76,"'Dion, Celine'",'1999-11-13',74.0,'4:03',"""That's The Way It Is""",'wk1',2000
77,"'Dixie Chicks, The'",'2000-06-24',80.0,'5:12','Cold Day In July','wk1',2000
78,"'Dixie Chicks, The'",'1999-11-27',79.0,'4:51','Cowboy Take Me Away','wk1',2000
79,"'Dixie Chicks, The'",'2000-03-18',40.0,'4:19','Goodbye Earl','wk1',2000
80,"'Dixie Chicks, The'",'2000-10-07',80.0,'3:32','Without You','wk1',2000
81,'DMX','2000-02-26',88.0,'3:45','Party Up','wk1',2000
82,'DMX','2000-01-15',98.0,'3:50',"""What's My Name""",'wk1',2000
83,'DMX','2000-07-01',98.0,'4:05','What You Want','wk1',2000
84,'Drama','2000-02-12',100.0,'3:37',"'Left, Right, Left'",'wk1',2000
85,'Dr. Dre','2000-01-22',75.0,'3:42','Forgot About Dre','wk1',2000
86,'Dr. Dre','2000-05-27',78.0,'2:38','The Next Episode','wk1',2000
87,'Dream','2000-09-30',99.0,'3:43','He Loves U Not','wk1',2000
88,"'Eastsidaz, The'",'2000-01-08',77.0,'4:27',"""G'D Up""",'wk1',2000
89,"'Eastsidaz, The'",'2000-07-01',99.0,'3:58','Got Beef','wk1',2000
90,'Eiffel 65','1999-12-11',67.0,'3:29','Blue','wk1',2000
91,"'Elliott, Missy ""Misdemeanor""'",'1999-11-27',36.0,'3:51','Hot Boyz','wk1',2000
92,'Eminem','2000-11-04',78.0,'5:26','Stan','wk1',2000
93,'Eminem','2000-05-06',70.0,'4:42','The Real Slim Shady','wk1',2000
94,'Eminem','2000-08-26',87.0,'4:40','The Way I Am','wk1',2000
95,'En Vogue','2000-06-17',92.0,'5:10','Riddle','wk1',2000
96,"'Estefan, Gloria'",'2000-06-10',77.0,'3:25','No Me Dejes De Quere...','wk1',2000
97,"'Evans, Sara'",'2000-10-21',77.0,'5:36','Born To Fly','wk1',2000
98,'Eve','2000-07-15',89.0,'3:48','Got It All','wk1',2000
99,'Eve','2000-01-08',94.0,'3:51','Love Is Blind','wk1',2000
100,'Everclear','2000-07-08',77.0,'4:30','Wonderful','wk1',2000
101,"'Fabian, Lara'",'2000-06-10',91.0,'3:43','I Will Love Again','wk1',2000
102,'Fatboy Slim','1999-11-13',94.0,'4:00','The Rockafeller Skan...','wk1',2000
103,'Filter','1999-11-27',91.0,'4:23','Take A Picture','wk1',2000
104,'Foo Fighters','1999-10-16',80.0,'3:55','Learn To Fly','wk1',2000
105,'Fragma','2000-10-28',99.0,'3:22',"""Toca's Miracle""",'wk1',2000
106,'Funkmaster Flex','2000-11-11',92.0,'4:14','Do You','wk1',2000
107,'Ghostface Killah','2000-08-05',98.0,'3:04','Cherchez LaGhost','wk1',2000
108,"'Gill, Vince'",'2000-09-02',82.0,'4:13','Feels Like Love','wk1',2000
109,"'Gilman, Billy'",'2000-06-17',86.0,'4:07','One Voice','wk1',2000
110,'Ginuwine','1999-12-11',94.0,'4:12','None Of Ur Friends B...','wk1',2000
111,'Ginuwine','2000-01-08',97.0,'4:06','The Best Man I Can B...','wk1',2000
112,'Goo Goo Dolls','2000-04-22',74.0,'3:54','Broadway','wk1',2000
113,"'Gray, Macy'",'2000-02-19',68.0,'3:52','I Try','wk1',2000
114,"'Griggs, Andy'",'2000-03-11',81.0,'3:19',"""She's More""",'wk1',2000
115,'Guy','1999-12-18',46.0,'4:08',"""Dancin'""",'wk1',2000
116,'Hanson','2000-04-22',22.0,'4:14','This Time Around','wk1',2000
117,"'Hart, Beth'",'1999-11-27',99.0,'3:47','L.A. Song','wk1',2000
118,"'Heatherly, Eric'",'2000-04-29',95.0,'3:16','Flowers On The Wall','wk1',2000
119,"'Henley, Don'",'2000-06-24',79.0,'4:08','Taking You Home','wk1',2000
120,"'Herndon, Ty'",'2000-03-18',100.0,'4:43','No Mercy','wk1',2000
121,"'Hill, Faith'",'1999-11-06',81.0,'4:04','Breathe','wk1',2000
122,"'Hill, Faith'",'2000-08-12',83.0,'4:11',"""Let's Make Love""",'wk1',2000
123,'Hoku','2000-02-19',69.0,'3:47','Another Dumb Blonde','wk1',2000
124,"'Hollister, Dave'",'2000-03-25',84.0,'6:17',"""Can't Stay""",'wk1',2000
125,'Hot Boys','2000-02-19',77.0,'4:16','I Need A Hot Girl','wk1',2000
126,"'Houston, Whitney'",'2000-06-17',74.0,'3:54','Could I Have This Ki...','wk1',2000
127,"'Houston, Whitney'",'2000-02-19',83.0,'4:18','I Learned From The B...','wk1',2000
128,"'Houston, Whitney'",'1999-09-04',81.0,'4:16','My Love Is Your Love','wk1',2000
129,"'Houston, Whitney'",'2000-06-17',71.0,'4:45',"'Same Script, Differe...'",'wk1',2000
130,'Ice Cube','1999-12-04',86.0,'4:20','You Can Do It','wk1',2000
131,'Ideal','2000-06-10',75.0,'3:48','Whatever','wk1',2000
132,"'Iglesias, Enrique'",'2000-04-01',63.0,'3:36','Be With You','wk1',2000
133,"'Iglesias, Enrique'",'1999-12-04',90.0,'7:35','Rhythm Divine','wk1',2000
134,'IMx','1999-10-09',84.0,'3:37','Stay The Night','wk1',2000
135,"'Jackson, Alan'",'2000-06-24',76.0,'2:53','It Must Be Love','wk1',2000
136,"'Jackson, Alan'",'1999-11-13',79.0,'3:04','Pop A Top','wk1',2000
137,"'Jackson, Alan'",'2000-11-04',75.0,'2:36','www.memory','wk1',2000
138,'Jagged Edge','1999-12-11',54.0,'3:30',"""He Can't Love U""",'wk1',2000
139,'Jagged Edge','2000-05-06',77.0,'4:23',"""Let's Get Married""",'wk1',2000
140,'Janet','2000-06-17',59.0,'4:17',"""Doesn't Really Matte...""",'wk1',2000
141,'Ja Rule','2000-09-16',85.0,'4:05','Between Me And You','wk1',2000
142,'Jay-Z','2000-02-26',72.0,'3:41','Anything','wk1',2000
143,'Jay-Z','2000-04-22',69.0,'3:55',"""Big Pimpin'""",'wk1',2000
144,'Jay-Z','2000-01-15',95.0,'3:47','Do It Again','wk1',2000
145,'Jay-Z','2000-08-12',98.0,'3:40','Hey Papi','wk1',2000
146,'Jay-Z','2000-10-28',58.0,'3:50','I Just Wanna Love U','wk1',2000
147,"'Jean, Wyclef'",'2000-10-07',77.0,'4:00','911','wk1',2000
148,'Joe','2000-01-01',94.0,'4:57','I Wanna Know','wk1',2000
149,'Joe','2000-08-05',77.0,'4:12','Treat Her Like A Lad...','wk1',2000
150,"'John, Elton'",'2000-04-22',56.0,'4:41','Someday Out Of The B...','wk1',2000
151,"'Jones, Donell'",'2000-04-22',81.0,'6:22','Where I Wanna Be','wk1',2000
152,"'Jordan, Montell'",'1999-10-23',92.0,'4:34','Get It On.. Tonite','wk1',2000
153,'J-Shin','1999-12-25',96.0,'4:34','One Night Stand','wk1',2000
154,'Juvenile','2000-02-05',85.0,'3:51','U Understand','wk1',2000
155,'Kandi','2000-08-05',66.0,'3:50',"""Don't Think I'm Not""",'wk1',2000
156,"'Keith, Toby'",'2000-08-05',82.0,'3:39','Country Comes To Tow...','wk1',2000
157,"'Keith, Toby'",'2000-01-29',77.0,'3:29','How Do You Like Me N...','wk1',2000
158,'Kelis','1999-12-04',84.0,'4:09','Caught Out There','wk1',2000
159,'Kenny G','1999-12-25',89.0,'7:50','Auld Lang Syne','wk1',2000
160,'Kid Rock','2000-02-19',63.0,'5:27','Only God Knows Why','wk1',2000
161,"'Kravitz, Lenny'",'2000-03-25',78.0,'4:17','I Belong To You','wk1',2000
162,'Kumbia Kings','2000-03-04',81.0,'3:50',"""U Don't Love Me""",'wk1',2000
163,"'Larrieux, Amel'",'2000-03-04',100.0,'4:02','Get Up','wk1',2000
164,"'Lawrence, Tracy'",'2000-01-29',80.0,'2:55','Lessons Learned','wk1',2000
165,"'Levert, Gerald'",'2000-08-19',96.0,'4:10','Baby U Are','wk1',2000
166,"'Levert, Gerald'",'2000-03-18',84.0,'4:06','Mr. Too Damn Good','wk1',2000
167,'LFO','2000-04-15',63.0,'5:00',"""I Don't Wanna Kiss Y...""",'wk1',2000
168,'LFO','2000-08-05',96.0,'3:27','West Side Story','wk1',2000
169,'Lil Bow Wow','2000-08-19',48.0,'3:22','Bounce With Me','wk1',2000
170,"""Lil' Kim""",'2000-11-25',79.0,'3:50','How Many Licks?','wk1',2000
171,"""Lil' Kim""",'2000-07-15',80.0,'4:12','No Matter What They ...','wk1',2000
172,"""Lil' Mo""",'2000-08-12',100.0,'4:17','Ta Da','wk1',2000
173,'Lil Wayne','1999-12-04',99.0,'4:13','Tha Block Is Hot','wk1',2000
174,"""Lil' Zane""",'2000-07-29',83.0,'3:43',"""Callin' Me""",'wk1',2000
175,'Limp Bizkit','1999-12-04',94.0,'3:55','N 2 Gether Now','wk1',2000
176,'Limp Bizkit','1999-12-04',91.0,'4:08','Re-Arranged','wk1',2000
177,'Limp Bizkit','2000-11-11',77.0,'4:04',"""Rollin'""",'wk1',2000
178,'LL Cool J','2000-08-12',99.0,'4:00','Imagine That','wk1',2000
179,'Lonestar','1999-06-05',81.0,'4:25','Amazed','wk1',2000
180,'Lonestar','1999-12-18',89.0,'3:33','Smile','wk1',2000
181,'Lonestar','2000-06-10',78.0,'3:30','What About Now','wk1',2000
182,"'Lopez, Jennifer'",'2000-02-19',79.0,'4:28',"""Feelin' Good""",'wk1',2000
183,"'Loveless, Patty'",'2000-09-16',98.0,'3:27',"""That's The Kind Of M...""",'wk1',2000
184,'Lox','2000-03-18',86.0,'3:56',"'Ryde or Die, Chick'",'wk1',2000
185,'Lucy Pearl','2000-05-20',80.0,'3:45','Dance Tonight','wk1',2000
186,'Ludacris','2000-09-30',89.0,'4:16',"""What's Your Fantasy""",'wk1',2000
187,'M2M','1999-11-20',72.0,'3:41',"""Don't Say You Love M...""",'wk1',2000
188,'M2M','2000-04-01',87.0,'3:19','Mirror Mirror','wk1',2000
189,'Madison Avenue','2000-07-08',98.0,'3:44',"""Don't Call Me Baby""",'wk1',2000
190,'Madonna','2000-02-19',43.0,'4:30','American Pie','wk1',2000
191,'Madonna','2000-08-12',41.0,'3:45','Music','wk1',2000
192,"'Martin, Ricky'",'2000-03-11',76.0,'4:02','Private Emotion','wk1',2000
193,"'Martin, Ricky'",'1999-11-20',74.0,'3:08','Shake Your Bon-Bon','wk1',2000
194,"'Martin, Ricky'",'2000-10-07',38.0,'4:02','She Bangs','wk1',2000
195,'Mary Mary','2000-03-25',90.0,'3:12','Shackles','wk1',2000
196,'Master P','2000-11-18',98.0,'3:33','Souljas','wk1',2000
197,'matchbox twenty','2000-04-29',60.0,'4:12','Bent','wk1',2000
198,"'McBride, Martina'",'2000-02-05',79.0,'5:13',"""Love's The Only Hous...""",'wk1',2000
199,"'McBride, Martina'",'2000-09-09',79.0,'3:26','There You Are','wk1',2000
200,"'McEntire, Reba'",'2000-05-13',89.0,'4:23',"""I'll Be""",'wk1',2000
201,"'McEntire, Reba'",'1999-10-30',88.0,'3:26','What Do You Say','wk1',2000
202,"'McGraw, Tim'",'1999-11-27',85.0,'4:33','My Best Friend','wk1',2000
203,"'McGraw, Tim'",'2000-10-21',73.0,'3:37','My Next Thirty Years','wk1',2000
204,"'McGraw, Tim'",'2000-05-13',76.0,'3:56','Some Things Never Ch...','wk1',2000
205,"'McKnight, Brian'",'2000-02-26',95.0,'4:32','Stay Or Let It Go','wk1',2000
206,"'Messina, Jo Dee'",'2000-01-29',83.0,'3:50','Because You Love Me','wk1',2000
207,"'Messina, Jo Dee'",'2000-06-24',78.0,'3:17',"""That's The Way""",'wk1',2000
208,'Metallica','2000-05-13',86.0,'4:26','I Disappear','wk1',2000
209,'Metallica','2000-02-12',86.0,'5:43','No Leaf Clover','wk1',2000
210,'Montgomery Gentry','2000-03-04',87.0,'4:18',"""Daddy Won't Sell The...""",'wk1',2000
211,"'Montgomery, John Michael'",'2000-09-09',81.0,'3:52','The Little Girl','wk1',2000
212,"'Moore, Chante'",'2000-10-28',98.0,'3:40','Straight Up','wk1',2000
213,"'Moore, Mandy'",'2000-06-17',69.0,'4:12','I Wanna Be With You','wk1',2000
214,"'Mumba, Samantha'",'2000-09-09',85.0,'3:19','Gotta Tell You','wk1',2000
215,'Musiq','2000-10-14',89.0,'4:02','Just Friends','wk1',2000
216,'Mya','2000-08-19',72.0,'3:50','Case Of The Ex','wk1',2000
217,'Mya','2000-04-15',85.0,'4:12','The Best Of Me','wk1',2000
218,'Mystikal','2000-08-12',97.0,'4:46','Shake Ya Ass','wk1',2000
219,'Nas','2000-03-25',74.0,'3:51','You Owe Me','wk1',2000
220,'Nelly','2000-04-29',100.0,'4:17','(Hot S**t) Country G...','wk1',2000
221,'Next','2000-05-27',85.0,'4:03','Wifey','wk1',2000
222,'Nine Days','2000-05-06',85.0,'3:09','Absolutely','wk1',2000
223,'Nine Days','2000-12-02',68.0,'4:18','If I Am','wk1',2000
224,'No Doubt','2000-07-01',50.0,'4:11','Simple Kind Of Life','wk1',2000
225,"""N'Sync""",'2000-01-29',42.0,'3:15','Bye Bye Bye','wk1',2000
226,"""N'Sync""",'2000-05-06',82.0,'3:10',"""It's Gonna Be Me""",'wk1',2000
227,"""N'Sync""",'2000-09-30',68.0,'4:23','This I Promise You','wk1',2000
228,'Nu Flavor','2000-06-03',97.0,'3:54','3 Little Words','wk1',2000
229,"'Offspring, The'",'2000-11-25',74.0,'3:42','Original Prankster','wk1',2000
230,"'Paisley, Brad'",'2000-05-13',87.0,'3:19','Me Neither','wk1',2000
231,"'Paisley, Brad'",'2000-10-14',71.0,'3:45','We Danced','wk1',2000
232,'Papa Roach','2000-07-29',75.0,'3:19','Last Resort','wk1',2000
233,'Pearl Jam','2000-05-13',49.0,'5:20','Nothing As It Seems','wk1',2000
234,'Pink','2000-08-12',85.0,'4:06','Most Girls','wk1',2000
235,'Pink','2000-03-04',25.0,'3:23','There U Go','wk1',2000
236,"'Price, Kelly'",'2000-07-15',82.0,'6:20','As We Lay','wk1',2000
237,"'Price, Kelly'",'2000-05-13',92.0,'3:46','Love Sets You Free','wk1',2000
238,"'Price, Kelly'",'2000-09-23',91.0,'3:12',"""You Should've Told M...""",'wk1',2000
239,'Profyle','2000-09-16',52.0,'3:57','Liar','wk1',2000
240,'Puff Daddy','2000-02-12',65.0,'5:33','Best Friend','wk1',2000
241,'Q-Tip','2000-01-22',71.0,'4:06','Breathe And Stop','wk1',2000
242,'Rascal Flatts','2000-05-06',87.0,'3:36',"""Prayin' For Daylight""",'wk1',2000
243,"'Raye, Collin'",'2000-03-18',91.0,'3:40',"""Couldn't Last A Mome...""",'wk1',2000
244,'Red Hot Chili Peppers','2000-07-29',72.0,'5:21','Californication','wk1',2000
245,'Red Hot Chili Peppers','2000-02-12',80.0,'4:13','Otherside','wk1',2000
246,'R.E.M.','1999-12-25',79.0,'4:10','The Great Beyond','wk1',2000
247,"'Rimes, LeAnn'",'1999-10-16',71.0,'3:03','Big Deal','wk1',2000
248,"'Rimes, LeAnn'",'2000-09-09',82.0,'3:33',"""Can't Fight The Moon...""",'wk1',2000
249,"'Rimes, LeAnn'",'2000-05-27',77.0,'3:42','I Need You','wk1',2000
250,"'Rogers, Kenny'",'2000-03-11',79.0,'3:46','Buy Me A Rose','wk1',2000
251,'Ruff Endz','2000-07-01',76.0,'3:56','No More','wk1',2000
252,'Sammie','2000-01-29',85.0,'4:09','I Like It','wk1',2000
253,'Santana','2000-02-12',15.0,'4:18',"'Maria, Maria'",'wk1',2000
254,'Savage Garden','2000-04-08',75.0,'4:41','Crash And Burn','wk1',2000
255,'Savage Garden','1999-10-23',71.0,'4:07','I Knew I Loved You','wk1',2000
256,'SheDaisy','1999-12-25',97.0,'3:46','Deck The Halls','wk1',2000
257,'SheDaisy','2000-07-15',78.0,'3:40','I Will.. But','wk1',2000
258,'SheDaisy','2000-02-05',82.0,'3:20','This Woman Needs','wk1',2000
259,"'Sheist, Shade'",'2000-11-11',96.0,'4:16','Where I Wanna Be','wk1',2000
260,'Shyne','2000-09-09',94.0,'4:22','Bad Boyz','wk1',2000
261,"'Simpson, Jessica'",'2000-07-01',63.0,'3:32',"""I Think I'm In Love ...""",'wk1',2000
262,"'Simpson, Jessica'",'2000-04-01',73.0,'3:51','Where You Are','wk1',2000
263,'Sisqo','1999-11-20',92.0,'3:52','Got To Get It','wk1',2000
264,'Sisqo','2000-06-24',77.0,'3:52','Incomplete','wk1',2000
265,'Sisqo','2000-01-29',74.0,'4:05','Thong Song','wk1',2000
266,'Sister Hazel','2000-07-15',75.0,'4:02','Change Your Mind','wk1',2000
267,'Smash Mouth','1999-10-30',83.0,'3:04','Then The Morning Com...','wk1',2000
268,"'Smith, Will'",'2000-02-12',99.0,'3:58',"""Freakin' It""",'wk1',2000
269,'Son By Four','2000-04-08',80.0,'3:30','A Puro Dolor','wk1',2000
270,'Sonique','2000-01-22',67.0,'3:48','It Feels So Good','wk1',2000
271,'SoulDecision','2000-07-08',94.0,'3:25','Faded','wk1',2000
272,"'Spears, Britney'",'2000-01-29',76.0,'4:30','From The Bottom Of M...','wk1',2000
273,"'Spears, Britney'",'2000-08-12',61.0,'3:23','Lucky','wk1',2000
274,"'Spears, Britney'",'2000-04-22',67.0,'3:30','Oops!.. I Did It Aga...','wk1',2000
275,"'Spencer, Tracie'",'2000-03-04',95.0,'4:11','Still In My Heart','wk1',2000
276,'Splender','2000-06-10',71.0,'3:55','I Think God Can Expl...','wk1',2000
277,'Sting','2000-05-13',98.0,'3:52','Desert Rose','wk1',2000
278,"'Stone, Angie'",'1999-12-25',86.0,'4:42','No More Rain','wk1',2000
279,'Stone Temple Pilots','2000-07-08',79.0,'4:16','Sour Girl','wk1',2000
280,"'Strait, George'",'2000-08-26',71.0,'3:48','Go On','wk1',2000
281,"'Strait, George'",'2000-01-29',73.0,'3:24','The Best Day','wk1',2000
282,'Sugar Ray','2000-01-15',70.0,'4:15','Falls Apart','wk1',2000
283,'Tamar','2000-03-25',98.0,'4:02',"""If You Don't Wanna L...""",'wk1',2000
284,'Tamia','2000-09-16',90.0,'3:38',"""Can't Go For That""",'wk1',2000
285,'Third Eye Blind','2000-09-02',80.0,'4:10','Deep Inside Of You','wk1',2000
286,'Third Eye Blind','2000-01-22',65.0,'3:57','Never Let You Go','wk1',2000
287,"'Thomas, Carl'",'2000-11-25',77.0,'4:31','Emotional','wk1',2000
288,"'Thomas, Carl'",'2000-03-25',75.0,'3:50','I Wish','wk1',2000
289,"'Thomas, Carl'",'2000-09-23',82.0,'4:57','Summer Rain','wk1',2000
290,"'Tippin, Aaron'",'2000-08-26',74.0,'2:53','Kiss This','wk1',2000
291,'TLC','2000-02-12',63.0,'4:36','Dear Lie','wk1',2000
292,'Train','1999-10-09',76.0,'3:55','Meet Virginia','wk1',2000
293,'Trick Daddy','2000-05-20',99.0,'4:17','Shut Up','wk1',2000
294,'Trina','2000-09-09',97.0,'2:58','Pull Over','wk1',2000
295,"'Tritt, Travis'",'2000-08-19',97.0,'4:15','Best Of Intentions','wk1',2000
296,'Tuesday','2000-12-30',98.0,'4:06','I Know','wk1',2000
297,"'Urban, Keith'",'2000-07-15',81.0,'4:10','Your Everything','wk1',2000
298,'Usher','2000-11-04',68.0,'3:36','Pop Ya Collar','wk1',2000
299,"'Vassar, Phil'",'2000-03-04',75.0,'4:07','Carlene','wk1',2000
300,"'Vassar, Phil'",'2000-09-30',81.0,'3:54','Just Another Day In ...','wk1',2000
301,'Vertical Horizon','2000-01-22',70.0,'4:01','Everything You Want','wk1',2000
302,'Vertical Horizon','2000-08-26',64.0,'3:45',"""You're A God""",'wk1',2000
303,'Vitamin C','2000-04-15',81.0,'4:23','Graduation','wk1',2000
304,'Vitamin C','2000-12-02',86.0,'3:30','The Itch','wk1',2000
305,"'Walker, Clay'",'1999-12-04',95.0,'4:06',"'Live, Laugh, Love'",'wk1',2000
306,"'Walker, Clay'",'2000-04-15',73.0,'5:03','The Chain Of Love','wk1',2000
307,"'Wallflowers, The'",'2000-10-28',73.0,'3:29','Sleepwalker','wk1',2000
308,'Westlife','2000-04-01',96.0,'4:07','Swear It Again','wk1',2000
309,"'Williams, Robbie'",'1999-11-20',85.0,'3:56','Angels','wk1',2000
310,"'Wills, Mark'",'2000-01-15',89.0,'4:00','Back At One','wk1',2000
311,"'Worley, Darryl'",'2000-06-17',98.0,'3:35','When You Need My Lov...','wk1',2000
312,"'Wright, Chely'",'2000-03-04',86.0,'3:51','It Was','wk1',2000
313,'Yankee Grey','2000-04-29',86.0,'3:10','Another Nine Minutes','wk1',2000
314,"'Yearwood, Trisha'",'2000-04-01',85.0,'3:55','Real Live Woman','wk1',2000
315,'Ying Yang Twins','2000-03-18',95.0,'4:19','Whistle While You Tw...','wk1',2000
316,'Zombie Nation','2000-09-02',99.0,'3:30','Kernkraft 400','wk1',2000
317,'2Ge+her','2000-09-02',87.0,'3:15','The Hardest Part Of ...','wk2',2000
318,'2 Pac','2000-02-26',82.0,'4:22',"""Baby Don't Cry""",'wk2',2000
319,'3 Doors Down','2000-04-08',70.0,'3:53','Kryptonite','wk2',2000
320,'3 Doors Down','2000-10-21',76.0,'4:24','Loser','wk2',2000
