,Day,Month,Ozone,Solar.R,Temp,Wind
117,26,8,73.0,215.0,86,8.0
118,27,8,nan,153.0,88,5.7000000000000002
119,28,8,76.0,203.0,97,9.6999999999999993
120,29,8,118.0,225.0,94,2.2999999999999998
121,30,8,84.0,237.0,96,6.2999999999999998
122,31,8,85.0,188.0,94,6.2999999999999998
123,1,9,96.0,167.0,91,6.9000000000000004
124,2,9,78.0,197.0,92,5.0999999999999996
125,3,9,73.0,183.0,93,2.7999999999999998
126,4,9,91.0,189.0,93,4.5999999999999996
127,5,9,47.0,95.0,87,7.4000000000000004
128,6,9,32.0,92.0,84,15.5
129,7,9,20.0,252.0,80,10.9
130,8,9,23.0,220.0,78,10.300000000000001
131,9,9,21.0,230.0,75,10.9
132,10,9,24.0,259.0,73,9.6999999999999993
133,11,9,44.0,236.0,81,14.9
134,12,9,21.0,259.0,76,15.5
135,13,9,28.0,238.0,77,6.2999999999999998
136,14,9,9.0,24.0,71,10.9
137,15,9,13.0,112.0,71,11.5
138,16,9,46.0,237.0,78,6.9000000000000004
139,17,9,18.0,224.0,67,13.800000000000001
140,18,9,13.0,27.0,76,10.300000000000001
141,19,9,24.0,238.0,68,10.300000000000001
142,20,9,16.0,201.0,82,8.0
143,21,9,13.0,238.0,64,12.6
144,22,9,23.0,14.0,71,9.1999999999999993
145,23,9,36.0,139.0,81,10.300000000000001
146,24,9,7.0,49.0,69,10.300000000000001
147,25,9,14.0,20.0,63,16.600000000000001
148,26,9,30.0,193.0,70,6.9000000000000004
149,27,9,nan,145.0,77,13.199999999999999
150,28,9,14.0,191.0,75,14.300000000000001
151,29,9,18.0,131.0,76,8.0
152,30,9,20.0,223.0,68,11.5
