,Day,Month,value,variable
280,5,9,95.0,'Solar.R'
281,6,9,92.0,'Solar.R'
282,7,9,252.0,'Solar.R'
283,8,9,220.0,'Solar.R'
284,9,9,230.0,'Solar.R'
285,10,9,259.0,'Solar.R'
286,11,9,236.0,'Solar.R'
287,12,9,259.0,'Solar.R'
288,13,9,238.0,'Solar.R'
289,14,9,24.0,'Solar.R'
290,15,9,112.0,'Solar.R'
291,16,9,237.0,'Solar.R'
292,17,9,224.0,'Solar.R'
293,18,9,27.0,'Solar.R'
294,19,9,238.0,'Solar.R'
295,20,9,201.0,'Solar.R'
296,21,9,238.0,'Solar.R'
297,22,9,14.0,'Solar.R'
298,23,9,139.0,'Solar.R'
299,24,9,49.0,'Solar.R'
300,25,9,20.0,'Solar.R'
301,26,9,193.0,'Solar.R'
302,27,9,145.0,'Solar.R'
303,28,9,191.0,'Solar.R'
304,29,9,131.0,'Solar.R'
305,30,9,223.0,'Solar.R'
306,1,5,7.4000000000000004,'Wind'
307,2,5,8.0,'Wind'
308,3,5,12.6,'Wind'
309,4,5,11.5,'Wind'
310,5,5,14.300000000000001,'Wind'
311,6,5,14.9,'Wind'
312,7,5,8.5999999999999996,'Wind'
313,8,5,13.800000000000001,'Wind'
314,9,5,20.100000000000001,'Wind'
315,10,5,8.5999999999999996,'Wind'
316,11,5,6.9000000000000004,'Wind'
317,12,5,9.6999999999999993,'Wind'
318,13,5,9.1999999999999993,'Wind'
319,14,5,10.9,'Wind'
320,15,5,13.199999999999999,'Wind'
321,16,5,11.5,'Wind'
322,17,5,12.0,'Wind'
323,18,5,18.399999999999999,'Wind'
324,19,5,11.5,'Wind'
325,20,5,9.6999999999999993,'Wind'
326,21,5,9.6999999999999993,'Wind'
327,22,5,16.600000000000001,'Wind'
328,23,5,9.6999999999999993,'Wind'
329,24,5,12.0,'Wind'
330,25,5,16.600000000000001,'Wind'
331,26,5,14.9,'Wind'
332,27,5,8.0,'Wind'
333,28,5,12.0,'Wind'
334,29,5,14.9,'Wind'
335,30,5,5.7000000000000002,'Wind'
336,31,5,7.4000000000000004,'Wind'
337,1,6,8.5999999999999996,'Wind'
338,2,6,9.6999999999999993,'Wind'
339,3,6,16.100000000000001,'Wind'
340,4,6,9.1999999999999993,'Wind'
341,5,6,8.5999999999999996,'Wind'
342,6,6,14.300000000000001,'Wind'
343,7,6,9.6999999999999993,'Wind'
344,8,6,6.9000000000000004,'Wind'
345,9,6,13.800000000000001,'Wind'
346,10,6,11.5,'Wind'
347,11,6,10.9,'Wind'
348,12,6,9.1999999999999993,'Wind'
349,13,6,8.0,'Wind'
350,14,6,13.800000000000001,'Wind'
351,15,6,11.5,'Wind'
352,16,6,14.9,'Wind'
353,17,6,20.699999999999999,'Wind'
354,18,6,9.1999999999999993,'Wind'
355,19,6,11.5,'Wind'
356,20,6,10.300000000000001,'Wind'
357,21,6,6.2999999999999998,'Wind'
358,22,6,1.7,'Wind'
359,23,6,4.5999999999999996,'Wind'
360,24,6,6.2999999999999998,'Wind'
361,25,6,8.0,'Wind'
362,26,6,8.0,'Wind'
363,27,6,10.300000000000001,'Wind'
364,28,6,11.5,'Wind'
365,29,6,14.9,'Wind'
366,30,6,8.0,'Wind'
367,1,7,4.0999999999999996,'Wind'
368,2,7,9.1999999999999993,'Wind'
369,3,7,9.1999999999999993,'Wind'
370,4,7,10.9,'Wind'
371,5,7,4.5999999999999996,'Wind'
372,6,7,10.9,'Wind'
373,7,7,5.0999999999999996,'Wind'
374,8,7,6.2999999999999998,'Wind'
375,9,7,5.7000000000000002,'Wind'
376,10,7,7.4000000000000004,'Wind'
377,11,7,8.5999999999999996,'Wind'
378,12,7,14.300000000000001,'Wind'
379,13,7,14.9,'Wind'
380,14,7,14.9,'Wind'
381,15,7,14.300000000000001,'Wind'
382,16,7,6.9000000000000004,'Wind'
383,17,7,10.300000000000001,'Wind'
384,18,7,6.2999999999999998,'Wind'
385,19,7,5.0999999999999996,'Wind'
386,20,7,11.5,'Wind'
387,21,7,6.9000000000000004,'Wind'
388,22,7,9.6999999999999993,'Wind'
389,23,7,11.5,'Wind'
390,24,7,8.5999999999999996,'Wind'
391,25,7,8.0,'Wind'
392,26,7,8.5999999999999996,'Wind'
393,27,7,12.0,'Wind'
394,28,7,7.4000000000000004,'Wind'
395,29,7,7.4000000000000004,'Wind'
396,30,7,7.4000000000000004,'Wind'
397,31,7,9.1999999999999993,'Wind'
398,1,8,6.9000000000000004,'Wind'
399,2,8,13.800000000000001,'Wind'
400,3,8,7.4000000000000004,'Wind'
401,4,8,6.9000000000000004,'Wind'
402,5,8,7.4000000000000004,'Wind'
403,6,8,4.5999999999999996,'Wind'
404,7,8,4.0,'Wind'
405,8,8,10.300000000000001,'Wind'
406,9,8,8.0,'Wind'
407,10,8,8.5999999999999996,'Wind'
408,11,8,11.5,'Wind'
409,12,8,11.5,'Wind'
410,13,8,11.5,'Wind'
411,14,8,9.6999999999999993,'Wind'
412,15,8,11.5,'Wind'
413,16,8,10.300000000000001,'Wind'
414,17,8,6.2999999999999998,'Wind'
415,18,8,7.4000000000000004,'Wind'
416,19,8,10.9,'Wind'
417,20,8,10.300000000000001,'Wind'
418,21,8,15.5,'Wind'
419,22,8,14.300000000000001,'Wind'
420,23,8,12.6,'Wind'
421,24,8,9.6999999999999993,'Wind'
422,25,8,3.3999999999999999,'Wind'
423,26,8,8.0,'Wind'
424,27,8,5.7000000000000002,'Wind'
425,28,8,9.6999999999999993,'Wind'
426,29,8,2.2999999999999998,'Wind'
427,30,8,6.2999999999999998,'Wind'
428,31,8,6.2999999999999998,'Wind'
429,1,9,6.9000000000000004,'Wind'
430,2,9,5.0999999999999996,'Wind'
431,3,9,2.7999999999999998,'Wind'
432,4,9,4.5999999999999996,'Wind'
433,5,9,7.4000000000000004,'Wind'
434,6,9,15.5,'Wind'
435,7,9,10.9,'Wind'
436,8,9,10.300000000000001,'Wind'
437,9,9,10.9,'Wind'
438,10,9,9.6999999999999993,'Wind'
439,11,9,14.9,'Wind'
440,12,9,15.5,'Wind'
441,13,9,6.2999999999999998,'Wind'
442,14,9,10.9,'Wind'
443,15,9,11.5,'Wind'
444,16,9,6.9000000000000004,'Wind'
445,17,9,13.800000000000001,'Wind'
446,18,9,10.300000000000001,'Wind'
447,19,9,10.300000000000001,'Wind'
448,20,9,8.0,'Wind'
449,21,9,12.6,'Wind'
450,22,9,9.1999999999999993,'Wind'
451,23,9,10.300000000000001,'Wind'
452,24,9,10.300000000000001,'Wind'
453,25,9,16.600000000000001,'Wind'
454,26,9,6.9000000000000004,'Wind'
455,27,9,13.199999999999999,'Wind'
456,28,9,14.300000000000001,'Wind'
457,29,9,8.0,'Wind'
458,30,9,11.5,'Wind'
459,1,5,67.0,'Temp'
460,2,5,72.0,'Temp'
461,3,5,74.0,'Temp'
462,4,5,62.0,'Temp'
463,5,5,56.0,'Temp'
464,6,5,66.0,'Temp'
465,7,5,65.0,'Temp'
466,8,5,59.0,'Temp'
467,9,5,61.0,'Temp'
468,10,5,69.0,'Temp'
469,11,5,74.0,'Temp'
470,12,5,69.0,'Temp'
471,13,5,66.0,'Temp'
472,14,5,68.0,'Temp'
473,15,5,58.0,'Temp'
474,16,5,64.0,'Temp'
475,17,5,66.0,'Temp'
476,18,5,57.0,'Temp'
477,19,5,68.0,'Temp'
478,20,5,62.0,'Temp'
479,21,5,59.0,'Temp'
480,22,5,73.0,'Temp'
481,23,5,61.0,'Temp'
482,24,5,61.0,'Temp'
483,25,5,57.0,'Temp'
484,26,5,58.0,'Temp'
485,27,5,57.0,'Temp'
486,28,5,67.0,'Temp'
487,29,5,81.0,'Temp'
488,30,5,79.0,'Temp'
489,31,5,76.0,'Temp'
490,1,6,78.0,'Temp'
491,2,6,74.0,'Temp'
492,3,6,67.0,'Temp'
493,4,6,84.0,'Temp'
494,5,6,85.0,'Temp'
495,6,6,79.0,'Temp'
496,7,6,82.0,'Temp'
497,8,6,87.0,'Temp'
498,9,6,90.0,'Temp'
499,10,6,87.0,'Temp'
500,11,6,93.0,'Temp'
501,12,6,92.0,'Temp'
502,13,6,82.0,'Temp'
503,14,6,80.0,'Temp'
504,15,6,79.0,'Temp'
505,16,6,77.0,'Temp'
506,17,6,72.0,'Temp'
507,18,6,65.0,'Temp'
508,19,6,73.0,'Temp'
509,20,6,76.0,'Temp'
510,21,6,77.0,'Temp'
511,22,6,76.0,'Temp'
512,23,6,76.0,'Temp'
513,24,6,76.0,'Temp'
514,25,6,75.0,'Temp'
515,26,6,78.0,'Temp'
516,27,6,73.0,'Temp'
517,28,6,80.0,'Temp'
518,29,6,77.0,'Temp'
519,30,6,83.0,'Temp'
520,1,7,84.0,'Temp'
521,2,7,85.0,'Temp'
522,3,7,81.0,'Temp'
523,4,7,84.0,'Temp'
524,5,7,83.0,'Temp'
525,6,7,83.0,'Temp'
526,7,7,88.0,'Temp'
527,8,7,92.0,'Temp'
528,9,7,92.0,'Temp'
529,10,7,89.0,'Temp'
530,11,7,82.0,'Temp'
531,12,7,73.0,'Temp'
532,13,7,81.0,'Temp'
533,14,7,91.0,'Temp'
534,15,7,80.0,'Temp'
535,16,7,81.0,'Temp'
536,17,7,82.0,'Temp'
537,18,7,84.0,'Temp'
538,19,7,87.0,'Temp'
539,20,7,85.0,'Temp'
540,21,7,74.0,'Temp'
541,22,7,81.0,'Temp'
542,23,7,82.0,'Temp'
543,24,7,86.0,'Temp'
544,25,7,85.0,'Temp'
545,26,7,82.0,'Temp'
546,27,7,86.0,'Temp'
547,28,7,88.0,'Temp'
548,29,7,86.0,'Temp'
549,30,7,83.0,'Temp'
550,31,7,81.0,'Temp'
551,1,8,81.0,'Temp'
552,2,8,81.0,'Temp'
553,3,8,82.0,'Temp'
554,4,8,86.0,'Temp'
555,5,8,85.0,'Temp'
556,6,8,87.0,'Temp'
557,7,8,89.0,'Temp'
558,8,8,90.0,'Temp'
559,9,8,90.0,'Temp'
560,10,8,92.0,'Temp'
561,11,8,86.0,'Temp'
562,12,8,86.0,'Temp'
563,13,8,82.0,'Temp'
564,14,8,80.0,'Temp'
565,15,8,79.0,'Temp'
566,16,8,77.0,'Temp'
567,17,8,79.0,'Temp'
568,18,8,76.0,'Temp'
569,19,8,78.0,'Temp'
570,20,8,78.0,'Temp'
571,21,8,77.0,'Temp'
572,22,8,72.0,'Temp'
573,23,8,75.0,'Temp'
574,24,8,79.0,'Temp'
575,25,8,81.0,'Temp'
576,26,8,86.0,'Temp'
577,27,8,88.0,'Temp'
578,28,8,97.0,'Temp'
579,29,8,94.0,'Temp'
580,30,8,96.0,'Temp'
581,31,8,94.0,'Temp'
582,1,9,91.0,'Temp'
583,2,9,92.0,'Temp'
584,3,9,93.0,'Temp'
585,4,9,93.0,'Temp'
586,5,9,87.0,'Temp'
587,6,9,84.0,'Temp'
588,7,9,80.0,'Temp'
589,8,9,78.0,'Temp'
590,9,9,75.0,'Temp'
591,10,9,73.0,'Temp'
592,11,9,81.0,'Temp'
593,12,9,76.0,'Temp'
594,13,9,77.0,'Temp'
595,14,9,71.0,'Temp'
596,15,9,71.0,'Temp'
597,16,9,78.0,'Temp'
598,17,9,67.0,'Temp'
599,18,9,76.0,'Temp'
600,19,9,68.0,'Temp'
601,20,9,82.0,'Temp'
602,21,9,64.0,'Temp'
603,22,9,71.0,'Temp'
604,23,9,81.0,'Temp'
605,24,9,69.0,'Temp'
606,25,9,63.0,'Temp'
607,26,9,70.0,'Temp'
608,27,9,77.0,'Temp'
609,28,9,75.0,'Temp'
610,29,9,76.0,'Temp'
611,30,9,68.0,'Temp'
